Number,Title,Type,metacritic_metascore,meta_user,meta_note
87,KOF 98 Anniversary Edition,,,,"['unable to get the rating', 'unable to get the user rating']"
88,Metal Slug,,,tbd,['unable to get the rating']
89,Metal Slug 2,,76.0,tbd,[]
90,Metal Slug 2 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
91,Metal Slug 3,,76.0,4.2,[]
92,Metal Slug 3 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
93,Metal Slug 3 (Enhanced Violence Version hack by EEZEZY),,,,"['unable to get the rating', 'unable to get the user rating']"
94,Metal Slug 4,,,tbd,['unable to get the rating']
95,Metal Slug 4 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
96,Metal Slug 5,,,tbd,['unable to get the rating']
97,Metal Slug 5 (Set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
98,Metal Slug 5 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
99,Metal Slug 6,,,tbd,['unable to get the rating']
100,Metal Slug X,,85.0,8.8,[]
101,Street Fighter II Bootleg,,,,"['unable to get the rating', 'unable to get the user rating']"
102,Street Fighter II Alpha Magic,,,,"['unable to get the rating', 'unable to get the user rating']"
103,Street Fighter II Alpha Magic 2,,,,"['unable to get the rating', 'unable to get the user rating']"
104,Street Fighter II Alpha Magic 3,,,,"['unable to get the rating', 'unable to get the user rating']"
105,Street Fighter II Alpha Magic 4,,,,"['unable to get the rating', 'unable to get the user rating']"
106,Street Fighter II Tu Long,,,,"['unable to get the rating', 'unable to get the user rating']"
107,Street Fighter (prototype),,,,"['unable to get the rating', 'unable to get the user rating']"
108,Street Fighter II: Champion Edition (M4),,,,"['unable to get the rating', 'unable to get the user rating']"
109,Street Fighter II: Champion Edition (M5),,,,"['unable to get the rating', 'unable to get the user rating']"
110,Street Fighter II: Champion Edition (M6),,,,"['unable to get the rating', 'unable to get the user rating']"
111,Street Fighter II: Champion Edition (M7),,,,"['unable to get the rating', 'unable to get the user rating']"
112,"Street Fighter II: Champion Edition (Rainbow,set 1)",,,,"['unable to get the rating', 'unable to get the user rating']"
113,"Street Fighter II: Champion Edition (Rainbow,set 2)",,,,"['unable to get the rating', 'unable to get the user rating']"
114,Street Fighter II: Champion Edition ( bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
115,"Street Fighter II: Champion Edition (Red Wave,bootleg)",,,,"['unable to get the rating', 'unable to get the user rating']"
116,Street Fighter II: Champion Edition (Accelerator Pt.II),,,,"['unable to get the rating', 'unable to get the user rating']"
117,Street Fighter II: Champion Edition (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
118,Street Fighter II: Champion Edition (World),,,,"['unable to get the rating', 'unable to get the user rating']"
119,Street Fighter II: The World Warrior,,,,"['unable to get the rating', 'unable to get the user rating']"
120,Street Fighter II: The World Warrior (USA1),,,,"['unable to get the rating', 'unable to get the user rating']"
121,Street Fighter II: The World Warrior (USA2),,,,"['unable to get the rating', 'unable to get the user rating']"
122,Street Fighter II: The World Warrior (USA3),,,,"['unable to get the rating', 'unable to get the user rating']"
123,Street Fighter II: The World Warrior (USA4),,,,"['unable to get the rating', 'unable to get the user rating']"
124,Street Fighter II: The World Warrior (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
125,Street Fighter II: The World Warrior (Japan Set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
126,Street Fighter II: Hyper Fighting (World),,,,"['unable to get the rating', 'unable to get the user rating']"
127,Marvel Vs. Capcom: Clash of Super Heroes,,,,"['unable to get the rating', 'unable to get the user rating']"
128,Marvel Vs. Capcom: Clash of Super Heroes (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
129,X-Men Vs. Street Fighter,,,,"['unable to get the rating', 'unable to get the user rating']"
130,X-Men Vs. Street Fighter (EU),,,,"['unable to get the rating', 'unable to get the user rating']"
131,Marvel Super Heroes Vs. Street Fighter,,,tbd,['unable to get the rating']
132,Marvel Super Heroes Vs. Street Fighter (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
133,Marvel Super Heroes Vs. Street Fighter (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
