Number,Title,Type,metacritic_metascore,meta_user,meta_note
1283,Mikie,,,,"['unable to get the rating', 'unable to get the user rating']"
1284,Shinnyuushain Tooru-kun,,,,"['unable to get the rating', 'unable to get the user rating']"
1285,Mighty Monkey,,,,"['unable to get the rating', 'unable to get the user rating']"
1286,Mighty Monkey (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
1287,Minefield,,,5.0,['unable to get the rating']
1288,Mirax (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1289,Mizubaku Daibouken (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1290,Major League,,,,"['unable to get the rating', 'unable to get the user rating']"
1291,Mars Matrix: Hyper Solid Shooting,,,,"['unable to get the rating', 'unable to get the user rating']"
1292,Minky Monkey,,,,"['unable to get the rating', 'unable to get the user rating']"
1293,Maze of Flott (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1294,Momoko 120%,,,,"['unable to get the rating', 'unable to get the user rating']"
1295,Monster Bash,,,7.2,['unable to get the rating']
1296,Monte Carlo,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1297,Wild West C.O.W.-Boys of Moo Mesa,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1298,Wild West C.O.W.-Boys of Moo Mesa (ver AAB),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1299,Moon Alien Part 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1300,Moon War,,,,"['unable to get the rating', 'unable to get the user rating']"
1301,Moon Cresta,,,tbd,['unable to get the rating']
1302,Moon Crest,,,,"['unable to get the rating', 'unable to get the user rating']"
1303,Moon Cresta (Nichibutsu),,,,"['unable to get the rating', 'unable to get the user rating']"
1304,Moon Quasar,,,,"['unable to get the rating', 'unable to get the user rating']"
1305,Moonwar,,,,"['unable to get the rating', 'unable to get the user rating']"
1306,More More,,,,"['unable to get the rating', 'unable to get the user rating']"
1307,More More Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
1308,Mosaic,,70.0,6.0,[]
1309,Motos,,,tbd,['unable to get the rating']
1310,Mouja (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1311,Mouser,,,,"['unable to get the rating', 'unable to get the user rating']"
1312,Mighty! Pang,,,,"['unable to get the rating', 'unable to get the user rating']"
1313,Moon Patrol,,,tbd,['unable to get the rating']
1314,Mr. Do!,,,,"['unable to get the rating', 'unable to get the user rating']"
1315,The Amazing Adventures of Mr. F. Lea,,,,"['unable to get the rating', 'unable to get the user rating']"
1316,Mr. Goemon (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1317,Mr. HELI no Daibouken (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1318,Mr. Jong (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1319,Mister Viking,,,,"['unable to get the rating', 'unable to get the user rating']"
1320,Mobile Suit Gundam,,,tbd,['unable to get the rating']
1321,Marvel Super Heroes (Euro),,,,"['unable to get the rating', 'unable to get the user rating']"
1322,Ms. Pac-Man Heart Burn,,,,"['unable to get the rating', 'unable to get the user rating']"
1323,Marvel Super Heroes (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
1324,Ms. Pac-Man,,,,"['unable to get the rating', 'unable to get the user rating']"
1325,Miss Pukman,,,,"['unable to get the rating', 'unable to get the user rating']"
1326,Come-Cocos,,,,"['unable to get the rating', 'unable to get the user rating']"
1327,Main Stadium (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1328,Monsters World,,,,"['unable to get the rating', 'unable to get the user rating']"
1329,Magic Sword: Heroic Fantasy,,,,"['unable to get the rating', 'unable to get the user rating']"
1330,Martial Champion,,,,"['unable to get the rating', 'unable to get the user rating']"
1331,Mega Twins,,,,"['unable to get the rating', 'unable to get the user rating']"
1332,Mug Smashers,,,,"['unable to get the rating', 'unable to get the user rating']"
1333,Multi Game '96 (Italy),,,,"['unable to get the rating', 'unable to get the user rating']"
1334,Multi Game (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1335,Multi Game 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1336,Multi Game III,,,,"['unable to get the rating', 'unable to get the user rating']"
1337,Multi Game,,,,"['unable to get the rating', 'unable to get the user rating']"
1338,Mustache Boy,,,,"['unable to get the rating', 'unable to get the user rating']"
1339,US AAF Mustang,,,,"['unable to get the rating', 'unable to get the user rating']"
1340,Mutant Fighter,,,,"['unable to get the rating', 'unable to get the user rating']"
1341,Mutation Nation,,,tbd,['unable to get the rating']
1342,MVP (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1343,Marvel Vs. Capcom: Clash of Super Heroes (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
1344,Mighty Warriors,,,,"['unable to get the rating', 'unable to get the user rating']"
1345,MX5000,,,,"['unable to get the rating', 'unable to get the user rating']"
1346,My Hero,,,,"['unable to get the rating', 'unable to get the user rating']"
1347,"My Hero (bootleg, 315-5132 encryption)",,,,"['unable to get the rating', 'unable to get the user rating']"
1348,My Hero (Korea),,,,"['unable to get the rating', 'unable to get the user rating']"
1349,Mysterious Stones - Dr. John's Adventure,,,,"['unable to get the rating', 'unable to get the user rating']"
1350,Mysterious Stones - Dr. Kick in Adventure,,,,"['unable to get the rating', 'unable to get the user rating']"
1351,Mystic Warriors,,,tbd,['unable to get the rating']
1352,NAM-1975,,,,"['unable to get the rating', 'unable to get the user rating']"
1353,Name That Tune (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1354,Naname de Magic!,,,,"['unable to get the rating', 'unable to get the user rating']"
1355,Nastar,,,,"['unable to get the rating', 'unable to get the user rating']"
1356,NATO Defense,,,,"['unable to get the rating', 'unable to get the user rating']"
1357,Naughty Boy,,,tbd,['unable to get the rating']
1358,NBA Jam,,79.0,8.6,[]
1359,NBA Jam TE,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1360,Ninja Combat,,,tbd,['unable to get the rating']
1361,Ninja Commando,,,tbd,['unable to get the rating']
1362,Namco Classic Collection Vol.1,,,,"['unable to get the rating', 'unable to get the user rating']"
1363,Neck-n-Neck,,,,"['unable to get the rating', 'unable to get the user rating']"
1364,Nemesis,,,tbd,['unable to get the rating']
1365,Nemo,,,,"['unable to get the rating', 'unable to get the user rating']"
1366,Nemo (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1367,SD Gundam Neo Battling (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1368,Neo Bomberman,,,,"['unable to get the rating', 'unable to get the user rating']"
1369,Neo-Geo Cup '98 - The Road to the Victory,,,,"['unable to get the rating', 'unable to get the user rating']"
1370,Neo Drift Out - New Technology,,,,"['unable to get the rating', 'unable to get the user rating']"
1371,Neo Mr. Do!,,,,"['unable to get the rating', 'unable to get the user rating']"
1372,Net Wars,,,,"['unable to get the rating', 'unable to get the user rating']"
1373,New Atomic Punk - Global Quest (US),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1374,Newpuc2,,,,"['unable to get the rating', 'unable to get the user rating']"
1375,New Puck-X,,,,"['unable to get the rating', 'unable to get the user rating']"
1376,News,,,,"['unable to get the rating', 'unable to get the user rating']"
1377,New Sinbad 7,,,,"['unable to get the rating', 'unable to get the user rating']"
1378,Nibbler,,,tbd,['unable to get the rating']
1379,Ninja Clowns,,,,"['unable to get the rating', 'unable to get the user rating']"
1380,Ninja (315-5102),,,,"['unable to get the rating', 'unable to get the user rating']"
1381,The Ninja Kids,,,,"['unable to get the rating', 'unable to get the user rating']"
1382,NinjaKun Ashura no Shou (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1383,NinjaKun Ashura no Shou (set 4),,,,"['unable to get the rating', 'unable to get the user rating']"
1384,The Ninja Kids (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1385,Ninja Master's - Haoh-ninpo-cho,,,,"['unable to get the rating', 'unable to get the user rating']"
1386,Ninja Emaki,,,,"['unable to get the rating', 'unable to get the user rating']"
1387,Nightmare in the Dark,,,,"['unable to get the rating', 'unable to get the user rating']"
1388,"Nitro Ball (World, set 1)",,,,"['unable to get the rating', 'unable to get the user rating']"
1389,Nekketsu Koukou Dodgeball Bu (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1390,Naughty Mouse,,,,"['unable to get the rating', 'unable to get the user rating']"
1391,Noboranka (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1392,Nostradamus,,,,"['unable to get the rating', 'unable to get the user rating']"
1393,Nova 2001 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1394,Nova 2001 (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1395,"Ninja Princess (315-5051, 64k Ver. bootleg?)",,,,"['unable to get the rating', 'unable to get the user rating']"
1396,New Rally X,,43.0,tbd,[]
1397,Neratte Chu,,,,"['unable to get the rating', 'unable to get the user rating']"
1398,Ninja Spirit,,,tbd,['unable to get the rating']
1399,Numan Athletics (World),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1400,Nunchackun,,,,"['unable to get the rating', 'unable to get the user rating']"
1401,Night Warriors: Darkstalkers' Revenge (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
1402,Nyan Nyan Panic (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1403,New Zero Team (China),,,,"['unable to get the rating', 'unable to get the user rating']"
1404,Ironman Ivan Stewart's Super Off-Road,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1405,Ironman Ivan Stewart's Super Off-Road Track-Pak,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1406,Off the Wall,,,,"['unable to get the rating', 'unable to get the user rating']"
1407,Oh My God! (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1408,Oishii Puzzle Ha Irimasenka,,,,"['unable to get the rating', 'unable to get the user rating']"
1409,Oriental Legend Special,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1410,Oriental Legend Special(ver.103),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1411,Oriental Legend Special Plus,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1412,Omega Fighter,,,tbd,['unable to get the rating']
1413,Omega Race (set 1),TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1414,One Shot One Kill,,,,"['unable to get the rating', 'unable to get the user rating']"
1415,Onna Sansirou - Typhoon Gal (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
1416,Opa Opa,,,,"['unable to get the rating', 'unable to get the user rating']"
1417,Orbitron,,,tbd,['unable to get the rating']
1418,Orbs,,,tbd,['unable to get the rating']
1419,Ordyne (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1420,Orius (ver UAA),,,,"['unable to get the rating', 'unable to get the user rating']"
1421,Oriental Legend,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1422,Psycho-Nics Oscar,,,,"['unable to get the rating', 'unable to get the user rating']"
1423,Osman,,75.0,tbd,[]
1424,Othello Derby (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1425,Off the Wall (Sente),,,,"['unable to get the rating', 'unable to get the user rating']"
1426,Out zone,,,tbd,['unable to get the rating']
1427,Out Zone (old set),,,,"['unable to get the rating', 'unable to get the user rating']"
1428,Out Zone (harder),,,,"['unable to get the rating', 'unable to get the user rating']"
1429,Over Top,,,,"['unable to get the rating', 'unable to get the user rating']"
1430,Ozma Wars,,,tbd,['unable to get the rating']
1431,Ozon I,,,,"['unable to get the rating', 'unable to get the user rating']"
1432,P-47-The Phantom Fighter,,,,"['unable to get the rating', 'unable to get the user rating']"
1433,P-47 Aces,,,,"['unable to get the rating', 'unable to get the user rating']"
1434,Pac-Gal,,,,"['unable to get the rating', 'unable to get the user rating']"
1435,Pac-Man (Hearts),,,,"['unable to get the rating', 'unable to get the user rating']"
1436,Pack'n Bang Bang,,,,"['unable to get the rating', 'unable to get the user rating']"
1437,Packetman (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
1438,Pac-Land,,,,"['unable to get the rating', 'unable to get the user rating']"
1439,Come Come,,,,"['unable to get the rating', 'unable to get the user rating']"
1440,"Pac-Man (Midway, harder)",,,,"['unable to get the rating', 'unable to get the user rating']"
1441,Pac & Pal,,,,"['unable to get the rating', 'unable to get the user rating']"
1442,Pacu-Man,,,,"['unable to get the rating', 'unable to get the user rating']"
1443,Paddle Mania,,,,"['unable to get the rating', 'unable to get the user rating']"
1444,Pajaro del Espacio,,,,"['unable to get the rating', 'unable to get the user rating']"
1445,Palamedes (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1446,Pandora's Palace,,,,"['unable to get the rating', 'unable to get the user rating']"
1447,Pang (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1448,Pang,,,tbd,['unable to get the rating']
1449,Pang Pang,,,,"['unable to get the rating', 'unable to get the user rating']"
1450,Panic Bomber,,,,"['unable to get the rating', 'unable to get the user rating']"
1451,Panic Road (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1452,Paperboy,,71.0,tbd,[]
1453,Parodius DA!,,,,"['unable to get the rating', 'unable to get the user rating']"
1454,Pass,,,,"['unable to get the rating', 'unable to get the user rating']"
1455,Passing Shot (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1456,Pinball Action (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1457,Pioneer Balloon,,,,"['unable to get the rating', 'unable to get the user rating']"
1458,Gyakuten!! Puzzle Bancho (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1459,Prebillian,,,,"['unable to get the rating', 'unable to get the user rating']"
1460,Perfect Billiard,,,,"['unable to get the rating', 'unable to get the user rating']"
1461,pbobbl2n,,,,"['unable to get the rating', 'unable to get the user rating']"
1462,Puzzle Bobble (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1463,Puzzle Bobble 3,,,,"['unable to get the rating', 'unable to get the user rating']"
1464,Puzzle Bobble,,75.0,6.6,[]
1465,Peggle,,89.0,7.5,[]
1466,Penguin Brothers (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1467,Pengo,,,,"['unable to get the rating', 'unable to get the user rating']"
1468,Pengo (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
1469,Pepper II,,,,"['unable to get the rating', 'unable to get the user rating']"
1470,Performan (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1471,Performan (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1472,Peter Pack-Rat,,,,"['unable to get the rating', 'unable to get the user rating']"
1473,Pocket Fighter (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1474,Pleasure Goal,,,,"['unable to get the rating', 'unable to get the user rating']"
1475,Phantasm (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1476,Phoenix,,78.0,tbd,[]
1477,Phoenix (Irecsa),,,,"['unable to get the rating', 'unable to get the user rating']"
1478,Phoenix Part 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1479,Photo Y2K,,,,"['unable to get the rating', 'unable to get the user rating']"
1480,Phozon (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1481,Pickin',,,,"['unable to get the rating', 'unable to get the user rating']"
1482,Pig Out: Dine Like a Swine!,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1483,Pigskin 621AD,,,,"['unable to get the rating', 'unable to get the user rating']"
1484,Pinbo,,,,"['unable to get the rating', 'unable to get the user rating']"
1485,Pinbo (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
1486,Konami's Ping-Pong,,,,"['unable to get the rating', 'unable to get the user rating']"
1487,Pipe Dream (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1488,Pipe Dream (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1489,puckman,,,,"['unable to get the rating', 'unable to get the user rating']"
1490,Piranha,,,tbd,['unable to get the rating']
1491,Pirates,,,tbd,['unable to get the rating']
1492,Pisces,,,,"['unable to get the rating', 'unable to get the user rating']"
1493,Pistol Daimyo no Bouken (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1494,Pitfall II,,,,"['unable to get the rating', 'unable to get the user rating']"
1495,Pit Fighter (version 3),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1496,Pit Fighter,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1497,Penguin-Kun Wars,,,,"['unable to get the rating', 'unable to get the user rating']"
1498,PlayBall!,,,,"['unable to get the rating', 'unable to get the user rating']"
1499,Gogetsuji Legends,,,,"['unable to get the rating', 'unable to get the user rating']"
1500,Gouketsuji Gaiden - Saikyou Densetsu (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1501,Pleiads,,,,"['unable to get the rating', 'unable to get the user rating']"
1502,Plotting,,,tbd,['unable to get the rating']
1503,Plump Pop (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1504,Plus Alpha,,,tbd,['unable to get the rating']
1505,Pnickies (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1506,Polaris,,,tbd,['unable to get the rating']
1507,Pollux,,,,"['unable to get the rating', 'unable to get the user rating']"
1508,Ponpoko,,,,"['unable to get the rating', 'unable to get the user rating']"
1509,Pooyan,,,tbd,['unable to get the rating']
1510,Pooyan (Stern Electronics),,,,"['unable to get the rating', 'unable to get the user rating']"
1511,Pop 'n Bounce,,,,"['unable to get the rating', 'unable to get the user rating']"
1512,Popeye,,,1.7,['unable to get the rating']
1513,Popeye-Man,,,,"['unable to get the rating', 'unable to get the user rating']"
1514,Pop Flamer (protected),,,,"['unable to get the rating', 'unable to get the user rating']"
1515,Popper,,,,"['unable to get the rating', 'unable to get the user rating']"
1516,Porky,,,,"['unable to get the rating', 'unable to get the user rating']"
1517,Pot of Gold,,,,"['unable to get the rating', 'unable to get the user rating']"
1518,Poto Poto (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1519,Pound for Pound (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1520,P.O.W. - Prisoners of War,,,6.3,['unable to get the rating']
1521,Power Balls,,,,"['unable to get the rating', 'unable to get the user rating']"
1522,Power Drive,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1523,Power Instinct (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
1524,Power Instinct (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1525,Peter Pan,,,,"['unable to get the rating', 'unable to get the user rating']"
1526,Ping Pong Masters '93,,,,"['unable to get the rating', 'unable to get the user rating']"
1527,Premier Soccer,,,,"['unable to get the rating', 'unable to get the user rating']"
1528,Progear,,,,"['unable to get the rating', 'unable to get the user rating']"
1529,Progear no Arashi (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1530,Progress,,,,"['unable to get the rating', 'unable to get the user rating']"
1531,Power Spikes,,,,"['unable to get the rating', 'unable to get the user rating']"
1532,Power Spikes II,,,tbd,['unable to get the rating']
1533,Power Surge,,,,"['unable to get the rating', 'unable to get the user rating']"
1534,Psychic 5,,,,"['unable to get the rating', 'unable to get the user rating']"
1535,Parallel Turn,,,,"['unable to get the rating', 'unable to get the user rating']"
1536,Puck Man (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1537,Puck Man (speedup hack),,,,"['unable to get the rating', 'unable to get the user rating']"
1538,Puck Man (Japan set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
1539,Puckman Pockimon,,,,"['unable to get the rating', 'unable to get the user rating']"
1540,PuLiRuLa,,,,"['unable to get the rating', 'unable to get the user rating']"
1541,Pulstar,,,tbd,['unable to get the rating']
1542,Punch-Out!!,,,,"['unable to get the rating', 'unable to get the user rating']"
1543,The Punisher,,69.0,8.3,[]
1544,Biaofeng Zhanjing,,,,"['unable to get the rating', 'unable to get the user rating']"
1545,"Punisher, The (Japan)",,,,"['unable to get the rating', 'unable to get the user rating']"
1546,Punk Shot (US4Players),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1547,Punk Shot (US2Players),,,,"['unable to get the rating', 'unable to get the user rating']"
1548,Pushman,,,,"['unable to get the rating', 'unable to get the user rating']"
1549,Puyo Puyo (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1550,Puyo Puyo 2 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1551,Puzzle Star,,,,"['unable to get the rating', 'unable to get the user rating']"
1552,Puzzle De Pon! R!,,,,"['unable to get the rating', 'unable to get the user rating']"
1553,Puzzle De Pon!,,,,"['unable to get the rating', 'unable to get the user rating']"
1554,Puzzli 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1555,PuzzLove,,,,"['unable to get the rating', 'unable to get the user rating']"
1556,Power Instinct 2 (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1557,Gouketsuji Ichizoku 2 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1558,Puzzle De Bowling (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1559,Puzzle Break,,,,"['unable to get the rating', 'unable to get the user rating']"
1560,Puzz Loop 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1561,Puzz Loop 2 (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1562,Quiz & Dragons: Capcom Quiz Game (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
1563,Q*bert's Qubes,,,,"['unable to get the rating', 'unable to get the user rating']"
1564,Quartet,3/4P,,tbd,['unable to get the rating']
1565,Quarth (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1566,Qwak,,,tbd,['unable to get the rating']
1567,Rabio Lepus (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1568,Rack 'em Up,,,,"['unable to get the rating', 'unable to get the user rating']"
1569,Rack + Roll,,,,"['unable to get the rating', 'unable to get the user rating']"
1570,Radical Radial,,,tbd,['unable to get the rating']
1571,Rafflesia,,,,"['unable to get the rating', 'unable to get the user rating']"
1572,Ragnagard,,,tbd,['unable to get the rating']
1573,Raiden,,,tbd,['unable to get the rating']
1574,Raiden (set 3),,,,"['unable to get the rating', 'unable to get the user rating']"
1575,Raiden DX (UK),,,,"['unable to get the rating', 'unable to get the user rating']"
1576,Raiden (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1577,Raiders5,,,,"['unable to get the rating', 'unable to get the user rating']"
1578,Raimais (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1579,Rainbow Islands,,,,"['unable to get the rating', 'unable to get the user rating']"
1580,Rally Bike,,,,"['unable to get the rating', 'unable to get the user rating']"
1581,Rally X,,,tbd,['unable to get the rating']
1582,Rally X (VER.A),,,,"['unable to get the rating', 'unable to get the user rating']"
1583,Rambo III,,,,"['unable to get the rating', 'unable to get the user rating']"
1584,Rambo III (Proto),,,,"['unable to get the rating', 'unable to get the user rating']"
1585,Rambo III (Europe),,,,"['unable to get the rating', 'unable to get the user rating']"
1586,Rampage,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1587,Rampage (Rev 2),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1588,Rampart,,,tbd,['unable to get the rating']
1589,Rapid Fire v1.1,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1590,Rapid Fire v1.0,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1591,Rastan,,,,"['unable to get the rating', 'unable to get the user rating']"
1592,Rastan (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1593,Real Bout Fatal Fury,,,tbd,['unable to get the rating']
1594,Real Bout Fatal Fury (bug fix revision),,,,"['unable to get the rating', 'unable to get the user rating']"
1595,Real Bout Fatal Fury2- The Newcomers,,,,"['unable to get the rating', 'unable to get the user rating']"
1596,Real Bout Fatal Fury Special,,,tbd,['unable to get the rating']
1597,Real Bout Fatal Fury Special (VER.K),,,,"['unable to get the rating', 'unable to get the user rating']"
1598,Vs. Atari R.B.I. Baseball (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1599,Rainbow Islands (new version),,,,"['unable to get the rating', 'unable to get the user rating']"
1600,Rad Action,,,,"['unable to get the rating', 'unable to get the user rating']"
1601,Red Earth,,,,"['unable to get the rating', 'unable to get the user rating']"
1602,Red Fox War Planes II,,,,"['unable to get the rating', 'unable to get the user rating']"
1603,Red Hawk (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1604,Red Hawk,,,,"['unable to get the rating', 'unable to get the user rating']"
1605,Redline Racer,,,tbd,['unable to get the rating']
1606,Red Robin,,,tbd,['unable to get the rating']
1607,Defend the Terra Attack on the Red UFO,,,,"['unable to get the rating', 'unable to get the user rating']"
1608,Defend the Terra Attack on the Red UFO (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
1609,Regulus,,,,"['unable to get the rating', 'unable to get the user rating']"
1610,Reikai Doushi (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1611,Relief Pitcher,,,,"['unable to get the rating', 'unable to get the user rating']"
1612,Renegade,,,tbd,['unable to get the rating']
1613,Renju Kizoku,,,,"['unable to get the rating', 'unable to get the user rating']"
1614,Repulse,,,tbd,['unable to get the rating']
1615,Rescue,,,,"['unable to get the rating', 'unable to get the user rating']"
1616,Return of the Invaders,,,,"['unable to get the rating', 'unable to get the user rating']"
1617,Rezon,,,tbd,['unable to get the rating']
1618,Rezon (Taito),,,,"['unable to get the rating', 'unable to get the user rating']"
1619,Ribbit!,,,,"['unable to get the rating', 'unable to get the user rating']"
1620,Riding Hero,,,tbd,['unable to get the rating']
1621,Riddle of Pythagoras (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1622,Rim Rockin' Basketball,,,,"['unable to get the rating', 'unable to get the user rating']"
1623,Ring of Destruction: Slammasters II,,,,"['unable to get the rating', 'unable to get the user rating']"
1624,Ring of Destruction: Slammasters II (Asia),,,,"['unable to get the rating', 'unable to get the user rating']"
1625,Ring Fighter (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
1626,Riot,,,,"['unable to get the rating', 'unable to get the user rating']"
1627,Riot City (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1628,Ripper Ribbit,,,,"['unable to get the rating', 'unable to get the user rating']"
1629,Risky Challenge,,,,"['unable to get the rating', 'unable to get the user rating']"
1630,R&T,,,,"['unable to get the rating', 'unable to get the user rating']"
1631,Roller Jammer,,,tbd,['unable to get the rating']
1632,Rockman: The Power Battle,,,,"['unable to get the rating', 'unable to get the user rating']"
1633,Road Blasters,,,,"['unable to get the rating', 'unable to get the user rating']"
1634,Road Fighter,,,tbd,['unable to get the rating']
1635,Road Runner,,,,"['unable to get the rating', 'unable to get the user rating']"
1636,The Adventures of Robby Roto!,,,,"['unable to get the rating', 'unable to get the user rating']"
1637,Robo Army,,,tbd,['unable to get the rating']
1638,Robocop 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1639,Atomic Robo-kid (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1640,Rock'n Rage,,,,"['unable to get the rating', 'unable to get the user rating']"
1641,MTV Rock-N-Roll Trivia (Part 2),,,,"['unable to get the rating', 'unable to get the user rating']"
1642,Roc'n Rope,,,,"['unable to get the rating', 'unable to get the user rating']"
1643,Rod-Land,,,tbd,['unable to get the rating']
1644,Rollergames,,,,"['unable to get the rating', 'unable to get the user rating']"
1645,Rage of the Dragons,,,,"['unable to get the rating', 'unable to get the user rating']"
1646,Rage of the Dragons (NGH-2640?),,,,"['unable to get the rating', 'unable to get the user rating']"
1647,Rougien,,,,"['unable to get the rating', 'unable to get the user rating']"
1648,Round-Up,,,,"['unable to get the rating', 'unable to get the user rating']"
1649,River Patrol,,,,"['unable to get the rating', 'unable to get the user rating']"
1650,River Patrol (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
1651,Rabbit Punch (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1652,Rough Ranger (v2.0),,,,"['unable to get the rating', 'unable to get the user rating']"
1653,Rolling Thunder 2,,,tbd,['unable to get the rating']
