Number,Title,Type
973,Guardians of the 'Hood,
974,Gulf Storm,
975,Gulf Storm (Korea),
976,Gulf War II,
977,Gunbird,
978,Gunbird 2,
979,Gunbird (Japan),
980,Mobile Suit Gundam EX Revue,
981,Gun Dealer,
982,Gundhara,
983,Gunforce - Battle Fire Engulfed Terror Island,
984,Gun & Frontier (World),
985,Mahou Keibitai Gun Hohki,
986,GunNail,
987,Gun.Smoke,
988,Gururin,
989,Gussun Oyoyo (Japan),
990,Guttang Gottong,
991,Guts n' Glory,
992,"Guwange (Japan, Master Ver. 99/06/24)",
993,Guzzler,
994,Guerrilla War,
995,Guevara (Japan),
996,Galactic Warriors,
997, Gypsy Juggler,TRACKBAll
998,Gyrodine,
999,Gyruss,
1000,Gyruss (Centuri),
1001,Hachoo!,
1002,HAL21,
1003,Halfway To Hell: Progear Red Label (2016-1-17 Red label ver) [Bootleg],
1004,Hammer Away (Japan),
1005, Hammer,TRACKBAll
1006,Hangly-Man,
1007,Hang on,
1008,Hang-On Jr.,
1009,Hard Hat,
1010,Hard Head 2,
1011,Hatris,
1012,Heavy Barrel,
1013,Haunted Castle,
1014,Hebereke no Popoon (Japan),
1015,Head Panic,
1016,HeliFire,
1017,Herbie at the Olympics,
1018,Hero,
1019,Hero in the Castle of Doom,
1020,Heuk Sun Baek Sa,
1021,Hexion (Japan ver JAB),
1022,Hex Pool,
1023,Hammerin' Harry,
1024,Pirate Ship Higemaru,
1025,High Impact Football,3/4P
1026,Hippodrome,
1027,Hit the Ice,3/4P
1028,Hit 'n Miss,TRACKBALL
1029,Hoccer,
1030,Hole Land,
1031,Holosseum,
1032,Hopping Mappy,
1033,Hopper Robo,
1034,Kid no Hore Hore Daisakusen,
1035,Horizon,
1036,Hot Bubble,
1037,Hot Chase,
1038,Hotdog Storm (International),
1039,Hot Mind,
1040,Hot Shocker,
1041,Hot Shots Tennis,
1042,Hatch Catch,
1043,Hat Trick Hero (Japan),
1044,Hunchback (Galaxian hardware),
1045,Hunchback (Scramble hardware),
1046,Video Hustler,
1047,Heavy Metal,
1048,High Way Race,
1049,Hydra,
1050,Hyper Sports,
1051,Hyper Sports Special (Japan),
1052,Vs. Ice Climber,
1053,Puzzle & Action: Ichidant-R (World),
1054,Indoor Soccer,
1055,Iga Ninjyutsuden (Japan),
1056,Ikari Warriors (US),
1057,Ikari III - The Rescue,
1058,Ikari (Japan),
1059,Ikki (Japan),
1060,Image Fight,
1061,Image Fight (Japan),
1062,I'm Sorry,
1063,Gonbee no I'm Sorry (Japan),
1064,Indian Battle,
1065,Danny Sullivan's Indy Heat,3/4P
1066,Indiana Jones and the Temple of Doom,
1067,Insector X,
1068,In The Hunt,
1069,Intrepid,
1070,IQ-Block,
1071,"I, Robot",
1072,Choutetsu Brikin'ger - Iron Clad,
1073,Iron Horse,
1074,Ixion,
1075,Jack the Giantkiller,
1076,Jackal,
1077,Jack Rabbit,
1078,Jail Break,
1079,Jackie Chan - The Kung-Fu Master,
1080,Jackie Chan in Fists of Fire,
1081,Judge Dredd,
1082,Return of the Jedi,TRACKBALL
1083,Jin,
1084,Jitsuryoku!! Pro Yakyuu (Japan),
1085,Jumping Jack,
1086,J. J. Squawkers,
1087,Jockey Grand Prix,
1088,Tatakae Genshizin Joe & Mac (Japan),
1089,Joe & Mac Returns (World),
1090,"Joe & Mac Returns (World, Version 1.0, 1994.05.19)",
1091,JoJo's Venture,
1092,Jolly Jogger,
1093,Journey,
1094,Puzzled,
1095,Joyman,
1096,JT-104,
1097,Jump Bug,
1098,Jump Coaster,
1099,Jumping,
1100,Jump Kids,
1101,Jumping Pop,
1102,Jump Shot,
1103,Jungle hunt,
1104,Jungler,
1105,Jungler (Stern Electronics),
1106,Juno First,
1107,Far East of Eden - Kabuki Klash,
1108,Kageki,
1109,Kaitei Takara Sagashi,
1110,Masked Riders Club Battle Race,
1111,Kangaroo,
1112,Kangaroo (Atari),
1113,Kaos,
1114,Karate Blazers,
1115,Karate Blazers (World),
1116,Karate Blazers (US),
1117,Karian Cross,
1118,Karnov,
1119,Karnov's Revenge,
1120,Ninja Kazan (World),
1121,Knuckle Bash,
1122,Knuckle Bash 2,
1123,Karate Champ,
1124,Kero Kero Keroppi's Let's Play Together,
1125,Kero Kero Keroppi no Issyoni Asobou (Japan),
1126,Ketsui: Kizuna Jigoku Tachi,
1127,The King of Fighters 2003,
1128,The King of Fighters 2004 Ultra Plus,
1129,Kick Boy,
1130,Kicker,
1131,Kick and Run,
1132,Kick Off (Japan),
1133,Kick Rider,
1134,Meikyu Jima (Japan),
1135,Kickle Cubele,
1136,KiKi KaiKai,
1137,Kick Start-Wheelie King,
1138,Killer Comet,
1139,King & Balloon,
1140,Kingdom Grandprix,
1141,King of Boxer,
1142,Kizuna Encounter - Super Tag Battle,
1143,Klax,
1144,Klax (Japan),
1145,Knuckle Heads (World),3/4P
1146,Knights of the Round,3/4P
1147,Knock Out!!,
1148,The King of Dragons,3/4P
1149,Kodure Ookami (Japan),
1150,"The King of Fighters 2000 (Playstation 2 ver. , EGHT hack)",
1151,The King of Fighters '98 (Anniversary Edition build 1.2.0827),
1152,The King of Fighters '98 (Combo),
1153,King of Gladiator,
1154,King of Gladiator Plus (The King of Fighters '97 bootleg),
1155,Kong,
1156,Koro Koro Quest (Japan),
1157,Korosuke Roller (Japan),
1158,Ah Eikou no Koshien (Japan),
1159,King of the Monsters,
1160,King of the Monsters2- The Next Thing,
1161,Krull,
1162,Krazy Bowl,TRACKBALL
1163,Kyukyoku Tiger II,
1164,Kuhga - Operation Code 'Vapor Trail' (Japan),
1165,Kung-Fu Master,
1166,Kung-Fu Taikun,
1167,Kuri Kinton,
1168,Kyros,
1169,Last Striker,
1170,Lady Bug,
1171,Lady Bug (bootleg on Galaxian hardware),
1172,Lady Master of Kung Fu,
1173,Lansquenet 2004,
1174,Battle Lane! Vol. 6,
1175,The Last Blade,
1176,The Last Blade 2,
1177,Chulgyeok D-Day (Korea),
1178,Last Duel,
1179,League Bowling,
1180,Lode Runner,
1181,Lode Runner II - The Bungeling Strikes Back,
1182,Lode Runner III - The Golden Labyrinth,
1183,Lode Runner IV - Teikoku Karano Dasshutsu (Japan),
1184,Led Storm Rally 2011 (World),
1185,Led Storm (US),
1186,Dark Horse Legend,
1187,Legend of Success Joe,
1188,Leprechaun,
1189,Lethal Justice,TRACKBALL
1190,Lightning Fighters,
1191,Lightning Fighters (US),
1192,Liberation,
1193,Libble Rabble,
1194,Lifeforce (US),
1195,Liquid Kids,
1196,Lizard Wizard,
1197,The Legend of Kage,
1198,Lunar Lander,
1199,Lunar lander (rev 2),
1200,Lock'n'Chase,
1201,Loco-Motion,
1202,Logger,
1203,Logic Pro2(Japan),
1204,Logic Pro (Japan),
1205,Legend of Hero Tonma,
1206,Legend of Hero Tonma (Japan),
1207,Legend of Makai,
1208,The Lord of King (Japan),
1209,Lost Tomb,
1210,Lost Tomb (hard),
1211,Lost Worlds (Japan),
1212,lotlot,
1213,Lotto Fun 2,
1214,Lunar Rescue,
1215,Last Resort,
1216,Last Resort (prototype),
1217,Land Sea Air Squad,
1218,Mission 660,
1219,Macho Mouse,
1220,Super Spacefortress Macross,
1221,Super Spacefortress Macross II,
1222,Mad Crasher,
1223,Mad Gear,
1224,Mad Motor,
1225,Mad Shark,
1226,Magical Drop (Japan),
1227,Magical Drop II,
1228,Magical Drop III,
1229,Magic Bubble,
1230,Magician Lord,
1231,Mag Max,
1232,Mahou Daisakusen (Japan),
1233,Majestic Twelve - The Space Invaders Part IV (Japan),
1234,Major Title,
1235,Majuu no Ohkoku,
1236,Makai-Mura (Japan),
1237,Makyou Senshi (Japan),
1238,Mang-Chi,
1239,Maniacsp,
1240,Many Block,
1241,Dreamcast Maple Bus,
1242,Marine Boy,
1243,Markham,
1244,Mars,
1245,Master of Weapon (World),
1246,Mat Mania,
1247,Matrimelee,
1248,Mayday,
1249,Mayhem 2002,
1250,Maze Invaders (prototype),
1251,Mazinger Z,
1252,Mazinger Z (Japan),
1253,Muscle Bomber Duo: Ultimate Team Battle,3/4P
1254,Magical Cat Adventure,
1255,Mechanized Attack (World),TRACKBALL
1256,Megadon,
1257,Mega Man: The Power Battle,
1258,Mega Man 2: The Power Fighters,
1259,Megatack,
1260,Mega Zone,
1261,Meikyuu Hunter G (Japan),
1262,Mercs,3/4P
1263,Senjou no Ookami II (Japan),3/4P
1264,Mercs (USA 900608),3/4P
1265,Merlins Money Maze,
1266,Mermaid,
1267,Metal Black (World),
1268,Metamorphic Force,
1269,Meteoroids,
1270,Metal Clash (Japan),
1271,Metal Saver,
1272,Metamoqester,
1273,Metro-Cross,
1274,Mexico 86,
1275,Magical Crystals,
1276,Magical Crystals (World),
1277,Major Havoc,
1278,M.I.A. - Missing in Action (version T),
1279,M.I.A. - Missing in Action (version S),
1280,Midnight Resistance (World),
1281,Midnight Resistance (US),
1282,Money Puzzle Exchanger,
1283,Mikie,
1284,Shinnyuushain Tooru-kun,
1285,Mighty Monkey,
1286,Mighty Monkey (bootleg),
1287,Minefield,
1288,Mirax (set 1),
1289,Mizubaku Daibouken (Japan),
1290,Major League,
1291,Mars Matrix: Hyper Solid Shooting,
1292,Minky Monkey,
1293,Maze of Flott (Japan),
1294,Momoko 120%,
1295,Monster Bash,
1296,Monte Carlo,TRACKBALL
1297,Wild West C.O.W.-Boys of Moo Mesa,3/4P
1298,Wild West C.O.W.-Boys of Moo Mesa (ver AAB),3/4P
1299,Moon Alien Part 2,
1300,Moon War,
1301,Moon Cresta,
1302,Moon Crest,
1303,Moon Cresta (Nichibutsu),
1304,Moon Quasar,
1305,Moonwar,
1306,More More,
1307,More More Plus,
1308,Mosaic,
1309,Motos,
1310,Mouja (Japan),
1311,Mouser,
1312,Mighty! Pang,
1313,Moon Patrol,
1314,Mr. Do!,
1315,The Amazing Adventures of Mr. F. Lea,
1316,Mr. Goemon (Japan),
1317,Mr. HELI no Daibouken (Japan),
1318,Mr. Jong (Japan),
1319,Mister Viking,
1320,Mobile Suit Gundam,
1321,Marvel Super Heroes (Euro),
1322,Ms. Pac-Man Heart Burn,
1323,Marvel Super Heroes (USA),
1324,Ms. Pac-Man,
1325,Miss Pukman,
1326,Come-Cocos,
1327,Main Stadium (Japan),
1328,Monsters World,
1329,Magic Sword: Heroic Fantasy,
1330,Martial Champion,
1331,Mega Twins,
1332,Mug Smashers,
1333,Multi Game '96 (Italy),
1334,Multi Game (set 1),
1335,Multi Game 2,
1336,Multi Game III,
1337,Multi Game,
1338,Mustache Boy,
1339,US AAF Mustang,
1340,Mutant Fighter,
1341,Mutation Nation,
1342,MVP (US),
1343,Marvel Vs. Capcom: Clash of Super Heroes (USA),
1344,Mighty Warriors,
1345,MX5000,
1346,My Hero,
1347,"My Hero (bootleg, 315-5132 encryption)",
1348,My Hero (Korea),
1349,Mysterious Stones - Dr. John's Adventure,
1350,Mysterious Stones - Dr. Kick in Adventure,
1351,Mystic Warriors,
1352,NAM-1975,
1353,Name That Tune (set 1),
1354,Naname de Magic!,
1355,Nastar,
1356,NATO Defense,
1357,Naughty Boy,
1358,NBA Jam,
1359,NBA Jam TE,3/4P
1360,Ninja Combat,
1361,Ninja Commando,
1362,Namco Classic Collection Vol.1,
1363,Neck-n-Neck,
1364,Nemesis,
1365,Nemo,
1366,Nemo (Japan),
1367,SD Gundam Neo Battling (Japan),
1368,Neo Bomberman,
1369,Neo-Geo Cup '98 - The Road to the Victory,
1370,Neo Drift Out - New Technology,
1371,Neo Mr. Do!,
1372,Net Wars,
1373,New Atomic Punk - Global Quest (US),3/4P
1374,Newpuc2,
1375,New Puck-X,
1376,News,
1377,New Sinbad 7,
1378,Nibbler,
1379,Ninja Clowns,
1380,Ninja (315-5102),
1381,The Ninja Kids,
1382,NinjaKun Ashura no Shou (set 1),
1383,NinjaKun Ashura no Shou (set 4),
1384,The Ninja Kids (US),
1385,Ninja Master's - Haoh-ninpo-cho,
1386,Ninja Emaki,
1387,Nightmare in the Dark,
1388,"Nitro Ball (World, set 1)",
1389,Nekketsu Koukou Dodgeball Bu (Japan),
1390,Naughty Mouse,
1391,Noboranka (Japan),
1392,Nostradamus,
1393,Nova 2001 (Japan),
1394,Nova 2001 (US),
1395,"Ninja Princess (315-5051, 64k Ver. bootleg?)",
1396,New Rally X,
1397,Neratte Chu,
1398,Ninja Spirit,
1399,Numan Athletics (World),3/4P
1400,Nunchackun,
1401,Night Warriors: Darkstalkers' Revenge (USA),
1402,Nyan Nyan Panic (Japan),
1403,New Zero Team (China),
1404,Ironman Ivan Stewart's Super Off-Road,3/4P
1405,Ironman Ivan Stewart's Super Off-Road Track-Pak,3/4P
1406,Off the Wall,
1407,Oh My God! (Japan),
1408,Oishii Puzzle Ha Irimasenka,
1409,Oriental Legend Special,3/4P
1410,Oriental Legend Special(ver.103),3/4P
1411,Oriental Legend Special Plus,3/4P
1412,Omega Fighter,
1413,Omega Race (set 1),TRACKBALL
1414,One Shot One Kill,
1415,Onna Sansirou - Typhoon Gal (set 2),
1416,Opa Opa,
1417,Orbitron,
1418,Orbs,
1419,Ordyne (Japan),
1420,Orius (ver UAA),
1421,Oriental Legend,3/4P
1422,Psycho-Nics Oscar,
1423,Osman,
1424,Othello Derby (Japan),
1425,Off the Wall (Sente),
1426,Out zone,
1427,Out Zone (old set),
1428,Out Zone (harder),
1429,Over Top,
1430,Ozma Wars,
1431,Ozon I,
1432,P-47-The Phantom Fighter,
1433,P-47 Aces,
1434,Pac-Gal,
1435,Pac-Man (Hearts),
1436,Pack'n Bang Bang,
1437,Packetman (bootleg),
1438,Pac-Land,
1439,Come Come,
1440,"Pac-Man (Midway, harder)",
1441,Pac & Pal,
1442,Pacu-Man,
1443,Paddle Mania,
1444,Pajaro del Espacio,
1445,Palamedes (Japan),
1446,Pandora's Palace,
1447,Pang (World),
1448,Pang,
1449,Pang Pang,
1450,Panic Bomber,
1451,Panic Road (Japan),
1452,Paperboy,
1453,Parodius DA!,
1454,Pass,
1455,Passing Shot (World),
1456,Pinball Action (set 1),
1457,Pioneer Balloon,
1458,Gyakuten!! Puzzle Bancho (Japan),
1459,Prebillian,
1460,Perfect Billiard,
1461,pbobbl2n,
1462,Puzzle Bobble (Japan),
1463,Puzzle Bobble 3,
1464,Puzzle Bobble,
1465,Peggle,
1466,Penguin Brothers (Japan),
1467,Pengo,
1468,Pengo (set 2),
1469,Pepper II,
1470,Performan (Japan),
1471,Performan (US),
1472,Peter Pack-Rat,
1473,Pocket Fighter (Japan),
1474,Pleasure Goal,
1475,Phantasm (Japan),
1476,Phoenix,
1477,Phoenix (Irecsa),
1478,Phoenix Part 2,
1479,Photo Y2K,
1480,Phozon (Japan),
1481,Pickin',
1482,Pig Out: Dine Like a Swine!,3/4P
1483,Pigskin 621AD,
1484,Pinbo,
1485,Pinbo (bootleg),
1486,Konami's Ping-Pong,
1487,Pipe Dream (World),
1488,Pipe Dream (Japan),
1489,puckman,
1490,Piranha,
1491,Pirates,
1492,Pisces,
1493,Pistol Daimyo no Bouken (Japan),
1494,Pitfall II,
1495,Pit Fighter (version 3),3/4P
1496,Pit Fighter,3/4P
1497,Penguin-Kun Wars,
1498,PlayBall!,
1499,Gogetsuji Legends,
1500,Gouketsuji Gaiden - Saikyou Densetsu (Japan),
1501,Pleiads,
1502,Plotting,
1503,Plump Pop (Japan),
1504,Plus Alpha,
1505,Pnickies (Japan),
1506,Polaris,
1507,Pollux,
1508,Ponpoko,
1509,Pooyan,
1510,Pooyan (Stern Electronics),
1511,Pop 'n Bounce,
1512,Popeye,
1513,Popeye-Man,
1514,Pop Flamer (protected),
1515,Popper,
1516,Porky,
1517,Pot of Gold,
1518,Poto Poto (Japan),
1519,Pound for Pound (World),
1520,P.O.W. - Prisoners of War,
1521,Power Balls,
1522,Power Drive,3/4P
1523,Power Instinct (USA),
1524,Power Instinct (set 1),
1525,Peter Pan,
1526,Ping Pong Masters '93,
1527,Premier Soccer,
1528,Progear,
1529,Progear no Arashi (Japan),
1530,Progress,
1531,Power Spikes,
1532,Power Spikes II,
1533,Power Surge,
1534,Psychic 5,
1535,Parallel Turn,
1536,Puck Man (Japan),
1537,Puck Man (speedup hack),
1538,Puck Man (Japan set 2),
1539,Puckman Pockimon,
1540,PuLiRuLa,
1541,Pulstar,
1542,Punch-Out!!,
1543,The Punisher,
1544,Biaofeng Zhanjing,
1545,"Punisher, The (Japan)",
1546,Punk Shot (US4Players),3/4P
1547,Punk Shot (US2Players),
1548,Pushman,
1549,Puyo Puyo (World),
1550,Puyo Puyo 2 (Japan),
1551,Puzzle Star,
1552,Puzzle De Pon! R!,
1553,Puzzle De Pon!,
1554,Puzzli 2,
1555,PuzzLove,
1556,Power Instinct 2 (US),
1557,Gouketsuji Ichizoku 2 (Japan),
1558,Puzzle De Bowling (Japan),
1559,Puzzle Break,
1560,Puzz Loop 2,
1561,Puzz Loop 2 (Japan),
1562,Quiz & Dragons: Capcom Quiz Game (USA),
1563,Q*bert's Qubes,
1564,Quartet,3/4P
1565,Quarth (Japan),
1566,Qwak,
1567,Rabio Lepus (Japan),
1568,Rack 'em Up,
1569,Rack + Roll,
1570,Radical Radial,
1571,Rafflesia,
1572,Ragnagard,
1573,Raiden,
1574,Raiden (set 3),
1575,Raiden DX (UK),
1576,Raiden (US),
1577,Raiders5,
1578,Raimais (World),
1579,Rainbow Islands,
1580,Rally Bike,
1581,Rally X,
1582,Rally X (VER.A),
1583,Rambo III,
1584,Rambo III (Proto),
1585,Rambo III (Europe),
1586,Rampage,3/4P
1587,Rampage (Rev 2),3/4P
1588,Rampart,
1589,Rapid Fire v1.1,TRACKBALL
1590,Rapid Fire v1.0,TRACKBALL
1591,Rastan,
1592,Rastan (US),
1593,Real Bout Fatal Fury,
1594,Real Bout Fatal Fury (bug fix revision),
1595,Real Bout Fatal Fury2- The Newcomers,
1596,Real Bout Fatal Fury Special,
1597,Real Bout Fatal Fury Special (VER.K),
1598,Vs. Atari R.B.I. Baseball (set 1),
1599,Rainbow Islands (new version),
1600,Rad Action,
1601,Red Earth,
1602,Red Fox War Planes II,
1603,Red Hawk (US),
1604,Red Hawk,
1605,Redline Racer,
1606,Red Robin,
1607,Defend the Terra Attack on the Red UFO,
1608,Defend the Terra Attack on the Red UFO (bootleg),
1609,Regulus,
1610,Reikai Doushi (Japan),
1611,Relief Pitcher,
1612,Renegade,
1613,Renju Kizoku,
1614,Repulse,
1615,Rescue,
1616,Return of the Invaders,
1617,Rezon,
1618,Rezon (Taito),
1619,Ribbit!,
1620,Riding Hero,
1621,Riddle of Pythagoras (Japan),
1622,Rim Rockin' Basketball,
1623,Ring of Destruction: Slammasters II,
1624,Ring of Destruction: Slammasters II (Asia),
1625,Ring Fighter (set 1),
1626,Riot,
1627,Riot City (Japan),
1628,Ripper Ribbit,
1629,Risky Challenge,
1630,R&T,
1631,Roller Jammer,
1632,Rockman: The Power Battle,
1633,Road Blasters,
1634,Road Fighter,
1635,Road Runner,
1636,The Adventures of Robby Roto!,
1637,Robo Army,
1638,Robocop 2,
1639,Atomic Robo-kid (World),
1640,Rock'n Rage,
1641,MTV Rock-N-Roll Trivia (Part 2),
1642,Roc'n Rope,
1643,Rod-Land,
1644,Rollergames,
1645,Rage of the Dragons,
1646,Rage of the Dragons (NGH-2640?),
1647,Rougien,
1648,Round-Up,
1649,River Patrol,
1650,River Patrol (bootleg),
1651,Rabbit Punch (US),
1652,Rough Ranger (v2.0),
1653,Rolling Thunder 2,
1654,Rolling Thunder,
1655,R-Type,
1656,R-Type II,
1657,Ryu Jin (Japan),
1658,"Ninja Ryukenden (Japan, set 1)",
1659,RyuKyu (Japan),
1660,Strikers 1945,
1661,Strikers 1945 II,
1662,Strikers 1945 III (World),
1663,Strikers 1945 (Japan),
1664,Strikers 1945 Plus,
1665,Saboten Bombers,
1666,Pretty Soldier Sailor Moon,
1667,Pretty Soldier Sailor Moon (Ver.95),
1668,Sai Yu Gou Ma Roku (Japan),
1669,Salamander,
1670,Salamander (version J),
1671,Salamander 2,
1672,Samurai Shodown III,
1673,Pae Wang Jeon Seol,
1674,Samurai Aces,
1675,Sand Scorpion,
1676,Sarge,
1677,Saturn,
1678,Saturn (VER.A),
1679,Sauro,
1680,Savage Reign,
1681,Savage Bees,
1682,Super Bagman,
1683,Super Champion Baseball,
1684,Super Basketball,
1685,Super Buster Bros. (USA),
1686,Super Bishi Bashi Championship,
1687,Super Bubble Bobble,
1688,Space Bomber,
1689,Success Joe,
1690,Schmeiser Robo (Japan),
1691,Special Criminal Investigation (World set 1),
1692,Scion,
1693,Super Cobra,
1694,Super Contra,
1695,Scorpion,
1696,Scorpion (set 2),
1697,Scooter Shooter,
1698,SD Fighters,
1699,SD Gundam Psycho Salamander no Kyoui,
1700,SDI - Strategic Defense Initiative (Japan),TRACKBALL
1701,Super Dodge Ball,
1702,Super Doubles Tennis,
1703,SAR - Search And Rescue,
1704,Search Eye,
1705,Search Eye (Korean),
1706,Search Eye Plus V2.0,
1707,Secret Agent,
1708,Section Z,
1709,Sega Ninja,
1710,Seicross,
1711,Sel Feena,
1712,MuHanSeungBu,
1713,Sengoku 2,
1714,Sengoku 3,
1715,Senjyo,
1716,Street Fighter II': Champion Edition (USA),
1717,Street Fighter II': Champion Edition,
1718,Street Fighter II - Hyper Fighting (US 921209),
1719,Street Fighter II Turbo - Hyper Fighting (Japan 921209),
1720,Street Fighter III: New Generation,
1721,Super Free Kick (set 1),
1722,Street Football,
1723,Sea Fighter Poseidon,
1724,Super Gem Fighter Mini Mix,
1725,Super Gem Fighter: Mini Mix,
1726,Gladiator 1984,
1727,Warriors of Fate (bootleg),
1728,Shadow Force,
1729,Shadow Warriors,
1730,Shanghai III (World),
1731,Shao-lin's Road,
1732,Shark Attack,
1733,Space Harrie,
1734,Shadow Dancer,
1735,Shadow Dancer (US),
1736,Shinobi,
1737,Shinobi (set 2),
1738,Shippu Mahou Daisakusen (Japan),
1739,Shocking,
1740,Shock Troopers - 2nd Squad,
1741,Shock Troopers,
1742,Shock Troopers (set 2),
1743,Shogun Warriors (World),
1744,Satan's Hollow,
1745,Shoot the Bull,TRACKBALL
1746,Shoot Out,
1747,Showdown,TRACKBALL
1748,Shuuz,TRACKBALL
1749,Space Invaders,
1750,Side Arms - Hyper Dyne,
1751,Side Pocket,
1752,Side Pocket (bootleg set 2),
1753,Silent Dragon,
1754,Silent Dragon (US),
1755,The Legend of Silkroad,
1756,Silk Worm,
1757,Silver Millennium,
1758,"Simpsons, The (2 Players)",
1759,"The Simpsons (4 Players World, set 1)",3/4P
1760,Sindbad Mystery,
1761,Super Invaders,
1762,Skull Crossbones,
1763,Sky Adventure,
1764,Sky Army,
1765,Sky Kid,
1766,Sky Kid (CUS60 version),
1767,Sky Kid Deluxe,
1768,Sky Skipper,
1769,Sky Smasher,
1770,Sky Soldiers,
1771,Sky Wolf,
1772,Saturday Night Slam Masters,3/4P
1773,Slap Fight (Japan),
1774,Slap Fight,
1775,Slap Fight (bootleg set 2),
1776,Slap Fight (bootleg set 3),
1777,Sly Spy,
1778,Smash T.V.,
1779,Super Muscle Bomber: The International Blowout (Japan),
1780,Super Muscle Bomber: The International Blowout (Japan 940808),
1781,Vs. Stroke & Match Golf,
1782,Snap Jack,
1783,Snapper,
1784,Soccer Brawl,
1785,Sokonuke Taisen Game (Japan),
1786,Soldam,
1787,Sol Divide - The Sword Of Darkness,
1788,Solitary Fighter (World),
1789,Solomon's Key,
1790,Solar-Warrior (US),
1791,Sonic Wings (Japan),
1792,Son of Phoenix,
1793,Son Son,
1794,Sotsugyo Shousho,
1795,Space Battle,
1796,Space Attack,
1797,Space Echo,
1798,Space Invaders DX,
1799,Space Empire,
1800,Space Odyssey,
1801,Space Pilot,
1802,Space War Part 3,
1803,Super Pang,
1804,Sparkz,
1805,Spatter,
1806,Space King 2,
1807,Space Laser,
1808,Space Thunderbird,
1809,Speed Coin,
1810,Super Dodge Ball (US),
1811,Speak & Rescue,
1812,Speed Ball,
1813,Speed Spin,
1814,Spelunker II,
1815,Spelunker,
1816,Super Puzzle Fighter II Turbo,
1817,Super Puzzle Fighter II X (Japan),
1818,Spiders (set 1),
1819,Spinal Breakers,
1820,Spin Master,
1821,Super Punch-Out!!,
1822,Super Cross II (Japan),
1823,Springer,
1824,Sprint 1,TRACKBALL
1825,S.P.Y. - Special Project Y,
1826,Spy Hunter II,
1827,S.P.Y. - Special Project Y (US ver. M),
1828,"Faster, Harder, More Challenging Q*bert",
1829,Squash,
1830,Space Raider,
1831,Super Ranger,
1832,Super Real Darwin,
1833,S.R.D. Mission,
1834,The Speed Rumbler (set 1),
1835,Seishun Scandal,
1836,Super Street Fighter II: The New Challengers (Japan),
1837,Sunset Riders (bootleg),
1838,Super Slam,3/4P
1839,S.S. Mission,
1840,Syusse Oozumou (Japan),
1841,Super Sprint,3/4P
1842,Super Sprint (rev 3),3/4P
1843,Super Stingray (Japan),
1844,Sorcer Striker,
1845,Stadium Hero (Japan),
1846,Stagger I (Japan),
1847,Stakes Winner,
1848,Stakes Winner 2,
1849,Star Fighter,
1850,Star Fighter (v1),
1851,Star Force,
1852,Star Guards,
1853,Star Jacker,
1854,Star Wars,TRACKBALL
1855,Saint Dragon,
1856,Saint Dragon (set 2),
1857,Street Fight,
1858,Strike Gunner S.T.G,
1859,Stinger,
1860,Stack Columns (World),
1861,Steel Force,
1862,Storm Blade (US),
1863,Stocker,
1864,Stone Ball (4 Players),3/4P
1865,Koutetsu Yousai Strahl (Japan),
1866,Strata Bowling,TRACKBALL
1867,Strategy X,
1868,Raiga - Strato Fighter,
1869,Street Smart,
1870,Strafe Bomb,
1871,Street Hoop,
1872,Strider,
1873,Strider Hiryu (Japan),
1874,Strider Hiryu (Japan Resale),
1875,Strike Force,
1876,Strength Skill,
1877,Submarine,
1878,Super Burger Time,
1879,Super galaxian,
1880,Super Game III,
1881,Superman,
1882,Super Pac-Man,
1883,The Super Spy,
1884,Super Tank,
1885,Super-X,
1886,Super-X (Mitchell),
1887,Super Locomotive,
1888,Super Mouse,
1889,From TV Animation Slam Dunk - Super Slams,
1890,Super Trio,
1891,Surprise Attack,
1892,Surprise Attack (Asia ver. L),
1893,Survival Arts,
1894,SNK vs. Capcom - SVC Chaos,
1895,Neo Geo SVC Bootleg Cart,
1896,SNK vs. Capcom - SVC Chaos Plus,
1897,Neo Geo SVC S.Plus Bootleg Cart,
1898,Super Volleyball (Japan),
1899,Super Volleyball,
1900,Super Volley '91 (Japan),
1901,SWAT,
1902,SWAT Police,
1903,Super World Court (World),3/4P
1904,Swimmer,
1905,Super World Stadium '92 (Japan),
1906,Super World Stadium '93 (Japan),
1907,Super Zaxxon,
1908,Tactician (set 1),
1909,Tactician,
1910,Tail to Nose - Great Championship,
1911,Talbot,
1912,Tang Tang,
1913,Tank Battalion,
1914,Tank Busters,
1915,Tank Force,
1916,Puzzle Action: Tant-R (Japan),
1917,Tao Taido,
1918,Tapper,
1919,Targ,
1920,Tazz-Mania,
1921,Tazz-Mania (bootleg on Galaxian),
1922,Tecmo Bowl (World),3/4P
1923,Thunder Ceptor,
1924,TouchDown Fever (US),
1925,Thunder Dragon,
1926,John Elway's Team Quarterback,3/4P
1927,TeddyBoy Blues,
1928,Tee'd Off (Japan),TRACKBALL
1929,Tengai,
1930,Sengoku Blade: Sengoku Ace Episode II,
1931,Ten Up,
1932,Terra Cresta,
1933,Terra Cresta (YM2203),
1934,Terra Force,
1935,Terra Force (US),
1936,"Tetris (set 4, Japan)",
1937,"Tetris (set 2, Japan)",
1938,Tetris (Japan),
1939,Thunder Force AC,
1940,Tetris the Absolute The Grand Master 2,
1941,Tetris the Absolute The Grand Master2Plus,
1942,Task Force Harrier,
1943,The Deep (Japan),
1944,The End,
