Number,Title,Type
179,Armored Warriors,3/4P
180,Dark Adventure,3/4P
181,Dungeons & Dragons: Tower of Doom,3/4P
182,Cadillacs: Kyouryuu Shin Seiki (Japan),3/4P
183,Knights of the Round (USA),3/4P
184,Michael Jackson's Moonwalker,3/4P
185,Powered Gear: Strategic Variant Armor Equipment (Japan),3/4P
186,Legion - Spinner-87 (World),
187,Sangokushi II,3/4P
188,Tenchi wo Kurau II: Sekiheki no Tatakai (Japan),3/4P
189,Blazing Tornado,3/4P
190,The Main Event (4 Players ver),3/4P
191,Star Castle,
192,Stargate,
193,Robotron: 2084,
194,Qix,
195,Galaga 3,
196,Galaga,
197,Galaga '88,
198,Ms. Pac Attack,
199,Space Invaders M,
200,Ms. Pacman Champion Edition / Zola-Puc Gal,
201,Ms. Pac-Man(Greece),
202,Ms. Pac-Man (speedup hack),
203,Ms. Pacman Champion Edition Super,
204,Ms. Pacman Champion Edition,
205,Ms. Pac-Man Plus,
206,Pac-Man (Midway),
207,Pac-Man (set 1),
208,Pac-Man (set 2),
209,Pac-Man (speedup hack),
210,Pac-Man Plus,
211,Pac-Mania,
212,Hyper Pacman,
213,Jr. Pac-Man,
214,Prehistoric Isle in 1930,
215,Prehistoric Isle 2,
216,SF-X,
217,Super Sidekicks,
218,Super Sidekicks2- The World Championship,
219,Super Sidekicks3- The Next Glory,
220,The Ultimate 11 - The SNK Football Championship,
221,Toki,
222,Tumble Pop,
223,Sunset Riders,3/4P
224,Sunset Riders (2 Players ver ABD),
225,Sunset Riders (2 Players ver EBC),
226,Sunset Riders (4 Players ver ADD),3/4P
227,Samurai Shodown / Samurai Spirits,
228,Samurai Shodown / Samurai Spirits (NGH-045),
229,Samurai Shodown II,
230,Fighters Swords (Korean release of Samurai Shodown III),
231,Samurai Shodown IV,
232,Samurai Shodown V,
233,Samurai Shodown V Special,
234,The Simpsons (2 Players Japan),
235,"The Simpsons (2 Players World, set 1)",
236,"The Simpsons (4 Players World, set 2)",3/4P
237,Snow Bros. - Nick & Tom,
238,Snow Bros. - Nick & Tom (bootleg),
239,Snow Bros.2- With New Elves,3/4P
240,Snow Brothers3- Magical Adventure,
241,Bubble Bobble,
242,Bubble Bobble (Japan),
243,Bubble Memories: The Story Of Bubble Bobble III,
244,Golden Axe: The Revenge of Death Adder,3/4P
245,Robocop,
246,Sonic Boom,
