Number,Title,Type,ign_score,ign_user,ign_note
837,Fatal Fury Special,,8,7.8,[]
838,Fatal Fury - King of Fighters,,,,"['unable to get the rating', 'unable to get the user rating']"
839,Fatal Fury 2,,7.5,6.7,[]
840,Fatal Fury3- Road to the Final Victory,,,,"['unable to get the rating', 'unable to get the user rating']"
841,Fire Ball,3/4P,NR,-,[]
842,Football Frenzy,,NR,-,[]
843,Fever SOS,,,,"['unable to get the rating', 'unable to get the user rating']"
844,Fighting Fantasy,,,,"['unable to get the rating', 'unable to get the user rating']"
845,Final Fight,,6.5,7.5,[]
846,Fighting Basketball,,,,"['unable to get the rating', 'unable to get the user rating']"
847,Fighting Hawk,,NR,-,[]
848,Field Day,,,,"['unable to get the rating', 'unable to get the user rating']"
849,Fight Fever,,NR,,['unable to get the user rating']
850,Fighting Roller,,,,"['unable to get the rating', 'unable to get the user rating']"
851,Final Blow,,NR,-,[]
852,Finalizer - Super Transformation,,,,"['unable to get the rating', 'unable to get the user rating']"
853,Final Tetris,,,,"['unable to get the rating', 'unable to get the user rating']"
854,Firebeast,,,,"['unable to get the rating', 'unable to get the user rating']"
855,Fire Hawk,,NR,,['unable to get the user rating']
856,Fire Trap,,,,"['unable to get the rating', 'unable to get the user rating']"
857,Fishin' Frenzy,,,,"['unable to get the rating', 'unable to get the user rating']"
858,Fighting Golf (World),,,,"['unable to get the rating', 'unable to get the user rating']"
859,Fitter,,,,"['unable to get the rating', 'unable to get the user rating']"
860,Flashgal,,,,"['unable to get the rating', 'unable to get the user rating']"
861,Flicky,,3,7.5,[]
862,Battle Flip Shot,,NR,-,[]
863,Flak Attack (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
864,Flower (US),,,,"['unable to get the rating', 'unable to get the user rating']"
865,The FairyLand Story,,NR,-,[]
866,Fly-Boy,,,,"['unable to get the rating', 'unable to get the user rating']"
867,Flying Tiger,,,,"['unable to get the rating', 'unable to get the user rating']"
868,Fancy World - Earth of Crisis,,,,"['unable to get the rating', 'unable to get the user rating']"
869,Funky Fish,,,,"['unable to get the rating', 'unable to get the user rating']"
870,Football Champ (World),,,,"['unable to get the rating', 'unable to get the user rating']"
871,Forgotten Worlds,,6,7,[]
872,Formation Z,,NR,4,[]
873,Flash Point,,,,"['unable to get the rating', 'unable to get the user rating']"
874,Freeze,,NR,-,[]
875,Frenzy,,NR,-,[]
876,Frisky Tom (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
877,Frog,,,,"['unable to get the rating', 'unable to get the user rating']"
878,Frogger,,8.5,7.4,[]
879,The Final Round,,NR,,['unable to get the user rating']
880,Flying shark,,NR,-,[]
881,Final Star Force,,,,"['unable to get the rating', 'unable to get the user rating']"
882,Fighters Swords,,,,"['unable to get the rating', 'unable to get the user rating']"
883,Full Throttle (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
884,Funky Jet,,NR,-,[]
885,Funny Mouse (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
886,Future Spy,,,,"['unable to get the rating', 'unable to get the user rating']"
887,F-X,,,,"['unable to get the rating', 'unable to get the user rating']"
888,Gaia Crusaders,,NR,-,[]
889,Space Invaders Galactica,,,,"['unable to get the rating', 'unable to get the user rating']"
890,Galaxian,,NR,6.3,[]
891,Galaxian Growing Galaxip,,,,"['unable to get the rating', 'unable to get the user rating']"
892,Galaxy Fight - Universal Warriors,,NR,-,[]
893,Cosmo Police Galivan,,NR,-,[]
894,Galmedes (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
895,Galaxian Turbo,,,,"['unable to get the rating', 'unable to get the user rating']"
896,The Game Paradise - Master of Shooting!,,,,"['unable to get the rating', 'unable to get the user rating']"
897,Gang Wars,,NR,-,[]
898,Ganryu,,NR,8,[]
899,Gaplus,,4.5,6,[]
900,Gardia,,,,"['unable to get the rating', 'unable to get the user rating']"
901,Garou - Mark of the Wolves,,,,"['unable to get the rating', 'unable to get the user rating']"
902,Garou - Mark of the Wolves (prototype),,,,"['unable to get the rating', 'unable to get the user rating']"
903,Garuka (Japan ver. W),,,,"['unable to get the rating', 'unable to get the user rating']"
904,Garyo Retsuden (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
905,Gate of Doom,,NR,-,[]
906,Gauntlet II,3/4P,5.5,8,[]
907,Gauntlet,3/4P,7.1,6.5,[]
908,Green Beret,,NR,-,[]
909,Gang Busters,,,,"['unable to get the rating', 'unable to get the user rating']"
910,Gemini Wing (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
911,"Gemini Wing (World, bootleg)",,,,"['unable to get the rating', 'unable to get the user rating']"
912,Genix Family,,,,"['unable to get the rating', 'unable to get the user rating']"
913,Genpei ToumaDen,,,,"['unable to get the rating', 'unable to get the user rating']"
914,Genshi-Tou 1930's,,,,"['unable to get the rating', 'unable to get the user rating']"
915,Golden Fire II,,,,"['unable to get the rating', 'unable to get the user rating']"
916,The Real Ghostbusters,,NR,-,[]
917,The Real Ghostbusters (US 3 Players),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
918,Ghostlop,,,,"['unable to get the rating', 'unable to get the user rating']"
919,Ghost Muncher,,,,"['unable to get the rating', 'unable to get the user rating']"
920,Ghouls'n Ghosts,,,,"['unable to get the rating', 'unable to get the user rating']"
921,Gigandes,,,,"['unable to get the rating', 'unable to get the user rating']"
922,Gigas Mark II,,,,"['unable to get the rating', 'unable to get the user rating']"
923,Giga Wing,,6,8.5,[]
924,G.I. Joe,3/4P,NR,8,[]
925,Ginga NinkyouDen,,,,"['unable to get the rating', 'unable to get the user rating']"
926,Gladiator,,NR,-,[]
927,Great Mahou Daisakusen (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
928,Ghostmuncher Galaxian,,,,"['unable to get the rating', 'unable to get the user rating']"
929,Gunbarich,,NR,3,[]
930,Ghosts'n Goblins,,,,"['unable to get the rating', 'unable to get the user rating']"
931,Ghosts'n Goblins (US),,,,"['unable to get the rating', 'unable to get the user rating']"
932,Goal! Goal! Goal!,,NR,,['unable to get the user rating']
933,Susume! Mile Smile,,,,"['unable to get the rating', 'unable to get the user rating']"
934,Gokujyou Parodius (ver JAD),,,,"['unable to get the rating', 'unable to get the user rating']"
935,Gold Bug,,,,"['unable to get the rating', 'unable to get the user rating']"
936,Gold Medalist,3/4P,NR,-,[]
937,Golden Axe,,4,7.3,[]
938,"Golden Axe (set 2, US)",,,,"['unable to get the rating', 'unable to get the user rating']"
939,"Golden Axe (set 3, World)",,,,"['unable to get the rating', 'unable to get the user rating']"
940,Gondomania,,,,"['unable to get the rating', 'unable to get the user rating']"
941,Gorf,,NR,5,[]
942,Gorf (program 1),,,,"['unable to get the rating', 'unable to get the user rating']"
943,Got-cha Mini Game Festival,,,,"['unable to get the rating', 'unable to get the user rating']"
944,Voltage Fighter - Gowcaizer,,NR,-,[]
945,Golden Par Golf,,,,"['unable to get the rating', 'unable to get the user rating']"
946,Ghost Pilots,,NR,7,[]
947,Gradius (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
948,Gradius II - GOFER no Yabou (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
949,Gradius III,,8.5,8,[]
950,Gratia-Second Earth,,,,"['unable to get the rating', 'unable to get the user rating']"
951,Gravitar,,NR,5.5,[]
952,Guardians,,,,"['unable to get the rating', 'unable to get the user rating']"
953,Guardian Storm,,,,"['unable to get the rating', 'unable to get the user rating']"
954,Jeon Sin - Guardian Storm,,,,"['unable to get the rating', 'unable to get the user rating']"
955,Galaxy Rescue,,,,"['unable to get the rating', 'unable to get the user rating']"
956,Grind Stormer,,NR,6,[]
957,Grudge Match,,,,"['unable to get the rating', 'unable to get the user rating']"
958,Grand Tour,,,,"['unable to get the rating', 'unable to get the user rating']"
959,Grobda,,NR,-,[]
960,Grobda (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
961,Growl,,NR,-,[]
962,Growl (World),,,,"['unable to get the rating', 'unable to get the user rating']"
963,Gryzor,,,,"['unable to get the rating', 'unable to get the user rating']"
964,Great Swordsman,,,,"['unable to get the rating', 'unable to get the user rating']"
965,Gingateikoku No Gyakushu,,,,"['unable to get the rating', 'unable to get the user rating']"
966,Golden Tee Golf,,NR,-,[]
967,1000 Miglia: Great 1000 Miles Rally,,,,"['unable to get the rating', 'unable to get the user rating']"
968,Mille Miglia 2: Great 1000 Miles Rally,,,,"['unable to get the rating', 'unable to get the user rating']"
969,Mille Miglia 2: Great 1000 Miles Rally (95/04/04),,,,"['unable to get the rating', 'unable to get the user rating']"
970,Great 1000 Miles Rally 2 USA,,,,"['unable to get the rating', 'unable to get the user rating']"
971,1000 Miglia: Great 1000 Miles Rally (94/05/10),,,,"['unable to get the rating', 'unable to get the user rating']"
972,Great 1000 Miles Rally: U.S.A Version!,,,,"['unable to get the rating', 'unable to get the user rating']"
973,Guardians of the 'Hood,,,,"['unable to get the rating', 'unable to get the user rating']"
974,Gulf Storm,,,,"['unable to get the rating', 'unable to get the user rating']"
975,Gulf Storm (Korea),,,,"['unable to get the rating', 'unable to get the user rating']"
976,Gulf War II,,,,"['unable to get the rating', 'unable to get the user rating']"
977,Gunbird,,,,"['unable to get the rating', 'unable to get the user rating']"
978,Gunbird 2,,8.4,9,[]
979,Gunbird (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
980,Mobile Suit Gundam EX Revue,,,,"['unable to get the rating', 'unable to get the user rating']"
981,Gun Dealer,,,,"['unable to get the rating', 'unable to get the user rating']"
982,Gundhara,,,,"['unable to get the rating', 'unable to get the user rating']"
983,Gunforce - Battle Fire Engulfed Terror Island,,NR,-,[]
984,Gun & Frontier (World),,,,"['unable to get the rating', 'unable to get the user rating']"
985,Mahou Keibitai Gun Hohki,,,,"['unable to get the rating', 'unable to get the user rating']"
986,GunNail,,NR,-,[]
987,Gun.Smoke,,NR,6.4,[]
988,Gururin,,NR,-,[]
989,Gussun Oyoyo (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
990,Guttang Gottong,,NR,4,[]
991,Guts n' Glory,,,,"['unable to get the rating', 'unable to get the user rating']"
992,"Guwange (Japan, Master Ver. 99/06/24)",,,,"['unable to get the rating', 'unable to get the user rating']"
993,Guzzler,,NR,7,[]
994,Guerrilla War,,NR,7,[]
995,Guevara (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
996,Galactic Warriors,,,,"['unable to get the rating', 'unable to get the user rating']"
997, Gypsy Juggler,TRACKBAll,NR,-,[]
998,Gyrodine,,,,"['unable to get the rating', 'unable to get the user rating']"
999,Gyruss,,4.8,7.7,[]
1000,Gyruss (Centuri),,,,"['unable to get the rating', 'unable to get the user rating']"
1001,Hachoo!,,,,"['unable to get the rating', 'unable to get the user rating']"
1002,HAL21,,,,"['unable to get the rating', 'unable to get the user rating']"
1003,Halfway To Hell: Progear Red Label (2016-1-17 Red label ver) [Bootleg],,,,"['unable to get the rating', 'unable to get the user rating']"
1004,Hammer Away (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1005, Hammer,TRACKBAll,,,"['unable to get the rating', 'unable to get the user rating']"
1006,Hangly-Man,,,,"['unable to get the rating', 'unable to get the user rating']"
1007,Hang on,,NR,6.7,[]
1008,Hang-On Jr.,,,,"['unable to get the rating', 'unable to get the user rating']"
1009,Hard Hat,,,,"['unable to get the rating', 'unable to get the user rating']"
1010,Hard Head 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1011,Hatris,,NR,5,[]
1012,Heavy Barrel,,,,"['unable to get the rating', 'unable to get the user rating']"
1013,Haunted Castle,,NR,3.2,[]
1014,Hebereke no Popoon (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1015,Head Panic,,,,"['unable to get the rating', 'unable to get the user rating']"
1016,HeliFire,,,,"['unable to get the rating', 'unable to get the user rating']"
1017,Herbie at the Olympics,,,,"['unable to get the rating', 'unable to get the user rating']"
1018,Hero,,,,"['unable to get the rating', 'unable to get the user rating']"
1019,Hero in the Castle of Doom,,,,"['unable to get the rating', 'unable to get the user rating']"
1020,Heuk Sun Baek Sa,,,,"['unable to get the rating', 'unable to get the user rating']"
1021,Hexion (Japan ver JAB),,,,"['unable to get the rating', 'unable to get the user rating']"
1022,Hex Pool,,,,"['unable to get the rating', 'unable to get the user rating']"
1023,Hammerin' Harry,,NR,,['unable to get the user rating']
1024,Pirate Ship Higemaru,,NR,-,[]
1025,High Impact Football,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1026,Hippodrome,,NR,8,[]
1027,Hit the Ice,3/4P,NR,-,[]
1028,Hit 'n Miss,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1029,Hoccer,,,,"['unable to get the rating', 'unable to get the user rating']"
1030,Hole Land,,,,"['unable to get the rating', 'unable to get the user rating']"
1031,Holosseum,,NR,-,[]
1032,Hopping Mappy,,NR,-,[]
1033,Hopper Robo,,,,"['unable to get the rating', 'unable to get the user rating']"
1034,Kid no Hore Hore Daisakusen,,,,"['unable to get the rating', 'unable to get the user rating']"
1035,Horizon,,6.5,-,[]
1036,Hot Bubble,,,,"['unable to get the rating', 'unable to get the user rating']"
1037,Hot Chase,,,,"['unable to get the rating', 'unable to get the user rating']"
1038,Hotdog Storm (International),,,,"['unable to get the rating', 'unable to get the user rating']"
1039,Hot Mind,,,,"['unable to get the rating', 'unable to get the user rating']"
1040,Hot Shocker,,,,"['unable to get the rating', 'unable to get the user rating']"
1041,Hot Shots Tennis,,7.6,7,[]
1042,Hatch Catch,,,,"['unable to get the rating', 'unable to get the user rating']"
1043,Hat Trick Hero (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1044,Hunchback (Galaxian hardware),,,,"['unable to get the rating', 'unable to get the user rating']"
1045,Hunchback (Scramble hardware),,,,"['unable to get the rating', 'unable to get the user rating']"
1046,Video Hustler,,,,"['unable to get the rating', 'unable to get the user rating']"
1047,Heavy Metal,,,,"['unable to get the rating', 'unable to get the user rating']"
1048,High Way Race,,,,"['unable to get the rating', 'unable to get the user rating']"
1049,Hydra,,8,,['unable to get the user rating']
1050,Hyper Sports,,NR,-,[]
1051,Hyper Sports Special (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1052,Vs. Ice Climber,,NR,-,[]
1053,Puzzle & Action: Ichidant-R (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1054,Indoor Soccer,,NR,-,[]
1055,Iga Ninjyutsuden (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1056,Ikari Warriors (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1057,Ikari III - The Rescue,,NR,3,[]
1058,Ikari (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1059,Ikki (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1060,Image Fight,,NR,-,[]
1061,Image Fight (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1062,I'm Sorry,,,,"['unable to get the rating', 'unable to get the user rating']"
1063,Gonbee no I'm Sorry (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1064,Indian Battle,,,,"['unable to get the rating', 'unable to get the user rating']"
1065,Danny Sullivan's Indy Heat,3/4P,NR,-,[]
1066,Indiana Jones and the Temple of Doom,,NR,6.7,[]
1067,Insector X,,NR,,['unable to get the user rating']
1068,In The Hunt,,3,8.3,[]
1069,Intrepid,,,,"['unable to get the rating', 'unable to get the user rating']"
1070,IQ-Block,,,,"['unable to get the rating', 'unable to get the user rating']"
1071,"I, Robot",,NR,-,[]
1072,Choutetsu Brikin'ger - Iron Clad,,,,"['unable to get the rating', 'unable to get the user rating']"
1073,Iron Horse,,,,"['unable to get the rating', 'unable to get the user rating']"
1074,Ixion,,NR,8.1,[]
1075,Jack the Giantkiller,,,,"['unable to get the rating', 'unable to get the user rating']"
1076,Jackal,,NR,7.5,[]
1077,Jack Rabbit,,,,"['unable to get the rating', 'unable to get the user rating']"
1078,Jail Break,,NR,7,[]
1079,Jackie Chan - The Kung-Fu Master,,,,"['unable to get the rating', 'unable to get the user rating']"
1080,Jackie Chan in Fists of Fire,,,,"['unable to get the rating', 'unable to get the user rating']"
1081,Judge Dredd,,,,"['unable to get the rating', 'unable to get the user rating']"
1082,Return of the Jedi,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1083,Jin,,,,"['unable to get the rating', 'unable to get the user rating']"
1084,Jitsuryoku!! Pro Yakyuu (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1085,Jumping Jack,,,,"['unable to get the rating', 'unable to get the user rating']"
1086,J. J. Squawkers,,,,"['unable to get the rating', 'unable to get the user rating']"
1087,Jockey Grand Prix,,,,"['unable to get the rating', 'unable to get the user rating']"
1088,Tatakae Genshizin Joe & Mac (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1089,Joe & Mac Returns (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1090,"Joe & Mac Returns (World, Version 1.0, 1994.05.19)",,,,"['unable to get the rating', 'unable to get the user rating']"
1091,JoJo's Venture,,,,"['unable to get the rating', 'unable to get the user rating']"
1092,Jolly Jogger,,,,"['unable to get the rating', 'unable to get the user rating']"
1093,Journey,,9,8.4,[]
1094,Puzzled,,NR,-,[]
1095,Joyman,,,,"['unable to get the rating', 'unable to get the user rating']"
1096,JT-104,,,,"['unable to get the rating', 'unable to get the user rating']"
1097,Jump Bug,,NR,5,[]
1098,Jump Coaster,,,,"['unable to get the rating', 'unable to get the user rating']"
1099,Jumping,,,,"['unable to get the rating', 'unable to get the user rating']"
1100,Jump Kids,,,,"['unable to get the rating', 'unable to get the user rating']"
1101,Jumping Pop,,,,"['unable to get the rating', 'unable to get the user rating']"
1102,Jump Shot,,,,"['unable to get the rating', 'unable to get the user rating']"
1103,Jungle hunt,,NR,7,[]
1104,Jungler,,NR,,['unable to get the user rating']
1105,Jungler (Stern Electronics),,,,"['unable to get the rating', 'unable to get the user rating']"
1106,Juno First,,,,"['unable to get the rating', 'unable to get the user rating']"
1107,Far East of Eden - Kabuki Klash,,,,"['unable to get the rating', 'unable to get the user rating']"
1108,Kageki,,,,"['unable to get the rating', 'unable to get the user rating']"
1109,Kaitei Takara Sagashi,,,,"['unable to get the rating', 'unable to get the user rating']"
1110,Masked Riders Club Battle Race,,,,"['unable to get the rating', 'unable to get the user rating']"
1111,Kangaroo,,NR,6,[]
1112,Kangaroo (Atari),,,,"['unable to get the rating', 'unable to get the user rating']"
1113,Kaos,,,,"['unable to get the rating', 'unable to get the user rating']"
1114,Karate Blazers,,,,"['unable to get the rating', 'unable to get the user rating']"
1115,Karate Blazers (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1116,Karate Blazers (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1117,Karian Cross,,,,"['unable to get the rating', 'unable to get the user rating']"
1118,Karnov,,NR,-,[]
1119,Karnov's Revenge,,NR,-,[]
1120,Ninja Kazan (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1121,Knuckle Bash,,,,"['unable to get the rating', 'unable to get the user rating']"
1122,Knuckle Bash 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1123,Karate Champ,,7.7,3,[]
1124,Kero Kero Keroppi's Let's Play Together,,,,"['unable to get the rating', 'unable to get the user rating']"
1125,Kero Kero Keroppi no Issyoni Asobou (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1126,Ketsui: Kizuna Jigoku Tachi,,NR,9.5,[]
1127,The King of Fighters 2003,,,,"['unable to get the rating', 'unable to get the user rating']"
1128,The King of Fighters 2004 Ultra Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
1129,Kick Boy,,,,"['unable to get the rating', 'unable to get the user rating']"
1130,Kicker,,,,"['unable to get the rating', 'unable to get the user rating']"
1131,Kick and Run,,NR,-,[]
1132,Kick Off (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1133,Kick Rider,,,,"['unable to get the rating', 'unable to get the user rating']"
1134,Meikyu Jima (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1135,Kickle Cubele,,,,"['unable to get the rating', 'unable to get the user rating']"
1136,KiKi KaiKai,,NR,-,[]
1137,Kick Start-Wheelie King,,,,"['unable to get the rating', 'unable to get the user rating']"
1138,Killer Comet,,,,"['unable to get the rating', 'unable to get the user rating']"
1139,King & Balloon,,NR,7,[]
1140,Kingdom Grandprix,,NR,,['unable to get the user rating']
1141,King of Boxer,,,,"['unable to get the rating', 'unable to get the user rating']"
1142,Kizuna Encounter - Super Tag Battle,,NR,6,[]
1143,Klax,,9,-,[]
1144,Klax (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1145,Knuckle Heads (World),3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1146,Knights of the Round,3/4P,NR,7.3,[]
1147,Knock Out!!,,,,"['unable to get the rating', 'unable to get the user rating']"
1148,The King of Dragons,3/4P,,,"['unable to get the rating', 'unable to get the user rating']"
1149,Kodure Ookami (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1150,"The King of Fighters 2000 (Playstation 2 ver. , EGHT hack)",,,,"['unable to get the rating', 'unable to get the user rating']"
1151,The King of Fighters '98 (Anniversary Edition build 1.2.0827),,,,"['unable to get the rating', 'unable to get the user rating']"
1152,The King of Fighters '98 (Combo),,,,"['unable to get the rating', 'unable to get the user rating']"
1153,King of Gladiator,,,,"['unable to get the rating', 'unable to get the user rating']"
1154,King of Gladiator Plus (The King of Fighters '97 bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
1155,Kong,,,,"['unable to get the rating', 'unable to get the user rating']"
1156,Koro Koro Quest (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1157,Korosuke Roller (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1158,Ah Eikou no Koshien (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1159,King of the Monsters,,5.5,6,[]
1160,King of the Monsters2- The Next Thing,,,,"['unable to get the rating', 'unable to get the user rating']"
1161,Krull,,NR,8,[]
1162,Krazy Bowl,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1163,Kyukyoku Tiger II,,,,"['unable to get the rating', 'unable to get the user rating']"
1164,Kuhga - Operation Code 'Vapor Trail' (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1165,Kung-Fu Master,,,,"['unable to get the rating', 'unable to get the user rating']"
1166,Kung-Fu Taikun,,,,"['unable to get the rating', 'unable to get the user rating']"
1167,Kuri Kinton,,,,"['unable to get the rating', 'unable to get the user rating']"
1168,Kyros,,,,"['unable to get the rating', 'unable to get the user rating']"
1169,Last Striker,,,,"['unable to get the rating', 'unable to get the user rating']"
1170,Lady Bug,,NR,6.5,[]
1171,Lady Bug (bootleg on Galaxian hardware),,,,"['unable to get the rating', 'unable to get the user rating']"
1172,Lady Master of Kung Fu,,,,"['unable to get the rating', 'unable to get the user rating']"
1173,Lansquenet 2004,,,,"['unable to get the rating', 'unable to get the user rating']"
1174,Battle Lane! Vol. 6,,,,"['unable to get the rating', 'unable to get the user rating']"
1175,The Last Blade,,NR,7.5,[]
1176,The Last Blade 2,,8.7,8,[]
1177,Chulgyeok D-Day (Korea),,,,"['unable to get the rating', 'unable to get the user rating']"
1178,Last Duel,,NR,,['unable to get the user rating']
1179,League Bowling,,NR,-,[]
1180,Lode Runner,,NR,7,[]
1181,Lode Runner II - The Bungeling Strikes Back,,,,"['unable to get the rating', 'unable to get the user rating']"
1182,Lode Runner III - The Golden Labyrinth,,,,"['unable to get the rating', 'unable to get the user rating']"
1183,Lode Runner IV - Teikoku Karano Dasshutsu (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1184,Led Storm Rally 2011 (World),,,,"['unable to get the rating', 'unable to get the user rating']"
1185,Led Storm (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1186,Dark Horse Legend,,,,"['unable to get the rating', 'unable to get the user rating']"
1187,Legend of Success Joe,,NR,-,[]
1188,Leprechaun,,,,"['unable to get the rating', 'unable to get the user rating']"
1189,Lethal Justice,TRACKBALL,,,"['unable to get the rating', 'unable to get the user rating']"
1190,Lightning Fighters,,,,"['unable to get the rating', 'unable to get the user rating']"
1191,Lightning Fighters (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1192,Liberation,,NR,-,[]
1193,Libble Rabble,,NR,-,[]
1194,Lifeforce (US),,,,"['unable to get the rating', 'unable to get the user rating']"
1195,Liquid Kids,,NR,-,[]
1196,Lizard Wizard,,,,"['unable to get the rating', 'unable to get the user rating']"
1197,The Legend of Kage,,2,5.3,[]
1198,Lunar Lander,,NR,5.4,[]
1199,Lunar lander (rev 2),,,,"['unable to get the rating', 'unable to get the user rating']"
1200,Lock'n'Chase,,,,"['unable to get the rating', 'unable to get the user rating']"
1201,Loco-Motion,,,,"['unable to get the rating', 'unable to get the user rating']"
1202,Logger,,,,"['unable to get the rating', 'unable to get the user rating']"
1203,Logic Pro2(Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1204,Logic Pro (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1205,Legend of Hero Tonma,,6.5,6,[]
1206,Legend of Hero Tonma (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1207,Legend of Makai,,NR,4,[]
1208,The Lord of King (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1209,Lost Tomb,,,,"['unable to get the rating', 'unable to get the user rating']"
1210,Lost Tomb (hard),,,,"['unable to get the rating', 'unable to get the user rating']"
1211,Lost Worlds (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1212,lotlot,,,,"['unable to get the rating', 'unable to get the user rating']"
1213,Lotto Fun 2,,,,"['unable to get the rating', 'unable to get the user rating']"
1214,Lunar Rescue,,NR,,['unable to get the user rating']
1215,Last Resort,,NR,5,[]
1216,Last Resort (prototype),,,,"['unable to get the rating', 'unable to get the user rating']"
1217,Land Sea Air Squad,,,,"['unable to get the rating', 'unable to get the user rating']"
1218,Mission 660,,,,"['unable to get the rating', 'unable to get the user rating']"
1219,Macho Mouse,,,,"['unable to get the rating', 'unable to get the user rating']"
1220,Super Spacefortress Macross,,,,"['unable to get the rating', 'unable to get the user rating']"
1221,Super Spacefortress Macross II,,,,"['unable to get the rating', 'unable to get the user rating']"
1222,Mad Crasher,,,,"['unable to get the rating', 'unable to get the user rating']"
1223,Mad Gear,,,,"['unable to get the rating', 'unable to get the user rating']"
1224,Mad Motor,,,,"['unable to get the rating', 'unable to get the user rating']"
1225,Mad Shark,,NR,-,[]
1226,Magical Drop (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1227,Magical Drop II,,7.2,7.5,[]
1228,Magical Drop III,,NR,9,[]
1229,Magic Bubble,,,,"['unable to get the rating', 'unable to get the user rating']"
1230,Magician Lord,,6.5,-,[]
1231,Mag Max,,,,"['unable to get the rating', 'unable to get the user rating']"
1232,Mahou Daisakusen (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1233,Majestic Twelve - The Space Invaders Part IV (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1234,Major Title,,,,"['unable to get the rating', 'unable to get the user rating']"
1235,Majuu no Ohkoku,,,,"['unable to get the rating', 'unable to get the user rating']"
1236,Makai-Mura (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1237,Makyou Senshi (Japan),,,,"['unable to get the rating', 'unable to get the user rating']"
1238,Mang-Chi,,,,"['unable to get the rating', 'unable to get the user rating']"
1239,Maniacsp,,,,"['unable to get the rating', 'unable to get the user rating']"
1240,Many Block,,,,"['unable to get the rating', 'unable to get the user rating']"
1241,Dreamcast Maple Bus,,,,"['unable to get the rating', 'unable to get the user rating']"
1242,Marine Boy,,,,"['unable to get the rating', 'unable to get the user rating']"
1243,Markham,,NR,-,[]
1244,Mars,,,,"['unable to get the rating', 'unable to get the user rating']"
