Number,Title,Type,ign_score,ign_user,ign_note
91,Metal Slug 3,,,,"['unable to get the rating', 'unable to get the user rating']"
92,Metal Slug 3 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
93,Metal Slug 3 (Enhanced Violence Version hack by EEZEZY),,,,"['unable to get the rating', 'unable to get the user rating']"
94,Metal Slug 4,,,,"['unable to get the rating', 'unable to get the user rating']"
95,Metal Slug 4 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
96,Metal Slug 5,,,,"['unable to get the rating', 'unable to get the user rating']"
97,Metal Slug 5 (Set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
98,Metal Slug 5 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
99,Metal Slug 6,,NR,7.6,[]
100,Metal Slug X,,9,8.3,[]
101,Street Fighter II Bootleg,,,,"['unable to get the rating', 'unable to get the user rating']"
102,Street Fighter II Alpha Magic,,,,"['unable to get the rating', 'unable to get the user rating']"
103,Street Fighter II Alpha Magic 2,,,,"['unable to get the rating', 'unable to get the user rating']"
104,Street Fighter II Alpha Magic 3,,,,"['unable to get the rating', 'unable to get the user rating']"
105,Street Fighter II Alpha Magic 4,,,,"['unable to get the rating', 'unable to get the user rating']"
106,Street Fighter II Tu Long,,,,"['unable to get the rating', 'unable to get the user rating']"
107,Street Fighter (prototype),,,,"['unable to get the rating', 'unable to get the user rating']"
108,Street Fighter II: Champion Edition (M4),,,,"['unable to get the rating', 'unable to get the user rating']"
109,Street Fighter II: Champion Edition (M5),,,,"['unable to get the rating', 'unable to get the user rating']"
110,Street Fighter II: Champion Edition (M6),,,,"['unable to get the rating', 'unable to get the user rating']"
111,Street Fighter II: Champion Edition (M7),,,,"['unable to get the rating', 'unable to get the user rating']"
112,"Street Fighter II: Champion Edition (Rainbow,set 1)",,,,"['unable to get the rating', 'unable to get the user rating']"
113,"Street Fighter II: Champion Edition (Rainbow,set 2)",,,,"['unable to get the rating', 'unable to get the user rating']"
114,Street Fighter II: Champion Edition ( bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
115,"Street Fighter II: Champion Edition (Red Wave,bootleg)",,,,"['unable to get the rating', 'unable to get the user rating']"
116,Street Fighter II: Champion Edition (Accelerator Pt.II),,,,"['unable to get the rating', 'unable to get the user rating']"
117,Street Fighter II: Champion Edition (USA),,,,"['unable to get the rating', 'unable to get the user rating']"
118,Street Fighter II: Champion Edition (World),,,,"['unable to get the rating', 'unable to get the user rating']"
119,Street Fighter II: The World Warrior,,7,8.4,[]
120,Street Fighter II: The World Warrior (USA1),,,,"['unable to get the rating', 'unable to get the user rating']"
121,Street Fighter II: The World Warrior (USA2),,,,"['unable to get the rating', 'unable to get the user rating']"
122,Street Fighter II: The World Warrior (USA3),,,,"['unable to get the rating', 'unable to get the user rating']"
