,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,6.3
8,,,
9,,,
10,,,5.6
11,,,
12,,,
13,,,0
14,,,4.9
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,7.2
22,,,7.4
23,,,
24,,,7.2
25,,,
26,,,7.1
27,,,
28,,,
29,,,7.2
30,,,
31,7.9,75,7.7
32,,,
33,,,7.8
34,,,7.8
35,Error,Error,Error
36,,,7.2
37,,,6.7
38,,,6.7
39,,60,8.3
40,,,
41,,,5.4
42,,,9.3
43,,,
44,,,7.9
45,,,8
46,,,
47,7.4,,7.6
48,,,
49,,,
50,,,7.5
51,,,
52,,,
53,,,
54,,,0
55,,,
56,,,7.4
57,,,0
58,,,7.5
59,,,
60,,,
61,,,6.6
62,,,7.6
63,,,
64,,,5.8
65,,,0
66,7.8,84,7.1
67,7.6,,6.9
68,,,7
69,,,0
70,,,6.5
71,,,5.2
72,,,5.2
73,,,
74,,,
75,,,8.1
76,3.5,,6.8
77,,,8
78,,,6.7
79,,,
80,,,
81,,,7.2
82,,,6.6
83,,,7
84,,,0
85,,,0
86,,,
87,,,6.4
88,,,7.3
89,,,
90,,,
91,,,7.1
92,,,
93,,,8.5
94,7.6,,6
95,,,
96,,,
97,,,6
98,,,
99,,,7.2
100,,,
101,,,0
102,,,
103,,,
104,,,0
105,,,0
106,,,5.8
107,,,5.5
108,,,
109,6.8,84,8.9
110,,,
111,,,9.1
112,8,,8.1
113,,,
114,9,,9.3
115,,,
116,,,
117,,,
118,,,0
119,,,
120,,,9.4
121,,,6.5
122,,,4
123,,,4
124,,,
125,,,8
126,,,8.4
127,,,8
128,,,
129,,,
130,,,7.8
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,3.4
137,,,7.7
138,,,0
139,,,6.4
140,,,
141,,,
142,,,
143,,,
144,,,4.1
145,,,5.6
146,,,1.1
147,,,1.1
148,,,
149,,,
150,,,
151,,,
152,,,7.6
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,7.5
161,,,7.5
162,,,0
163,,,
164,,,0
165,,,
166,,,
167,,,
168,,,0
169,,,6.7
170,,,8.1
171,,,
172,,,
173,,,6.7
174,7.1,,8.3
175,,,
176,,,6.8
177,,,
178,,,7.8
179,,,7.4
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,8.5
186,,,7.6
187,,,0
188,5,,7
189,,,0
190,,,
191,,,
192,,,
193,,,
194,,,8.7
195,,,
196,,,7.6
197,,,
198,,,7
199,,,
200,,,7.3
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,6.4
207,,,5.6
208,,,5.8
209,,,0
210,,,6.2
211,,,
212,,,7.2
213,,,
214,,,6.1
215,,,
216,,,5.4
217,,,
218,,,0
219,,,0
220,,,0
221,,,
222,,,
223,,,
224,,,
