,0,1,2
0,,27,5.3
1,,,6.1
2,,,6.1
3,,,6.9
4,,,7.1
5,,,
6,,,8.3
7,,,0
8,,,7.1
9,7,67,7.8
10,,,5.5
11,,,
12,,,
13,,,0
14,,,
15,,,5.7
16,,,7.3
17,,,7.6
18,,,7.4
19,,,7.9
20,,,7.1
21,,,7.6
22,,,
23,,,5.8
24,,78,6.3
25,,,7.5
26,,,6.9
27,,,7
28,,,7
29,7.7,79,8.2
30,,,
31,7.7,81,8.4
32,,,6.6
33,,,5.8
34,,,
35,,,3
36,,,4.7
37,,,4.7
38,,,0
39,,,
40,,,
41,,,
42,,,6.3
43,,,0
44,,,7.9
45,,,
46,,,6.9
47,,,6
48,,,5.3
49,,,
50,,,8.3
51,,,4.5
52,,,4.9
53,,,4.9
54,,,8.2
55,,,
56,,,
57,,,2.9
58,,,0
59,,,
60,,,6.4
61,,,
62,,,8.1
63,,,
64,,,5.3
65,,,5.3
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,0
72,,,7.3
73,,,
74,,,8.4
75,,,
76,8.5,92,9.5
77,,,6.9
78,,,
79,,,
80,,,5.4
81,,,8.3
82,,,
83,,,9.1
84,4.8,,6.4
85,,,7
86,6.2,,6.8
87,5.9,,7.4
88,,,
89,,,7.6
90,,,7.6
91,7.4,70,8.4
92,,,
93,,,0
94,,,7.7
95,,,
96,,,0
97,,,0
98,,,0
99,,,0
100,,,
101,,,
102,,,6.4
103,,,5.6
104,,,5.4
105,7,76,7.8
106,,,0
107,,,
108,,,8.3
109,,,
110,,,0
111,,,0
112,,,
113,,,7.7
114,,,6.9
115,,,0
116,,,0
117,,,6.2
118,,,6.2
119,,,6
120,,,
121,,,0
122,,,6.9
123,,,8.6
124,,,
125,,,5.4
126,,,0
127,,,
128,,66,7.9
129,,,
130,,,6.8
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,7.2
137,,,
138,,,
139,,,
140,,,
141,,,0
142,,,
143,,,
144,8.3,80,8.9
145,7.8,77,8.6
146,,,
147,,,5.1
148,,,0
149,,,0
150,,,7
151,,,5.7
152,,,
153,7.4,66,8
154,,,6.6
155,,,
156,,,7.7
157,,,1
158,7.5,41,6.6
159,7.5,41,6.6
160,,,
161,,,5.6
162,,,0
163,,,4.1
164,,,7.6
165,,,
166,,,0
167,,,0
168,,,8.5
169,,,8.5
170,,,7.3
171,,,9.3
172,7.1,72,8.1
173,2,45,8
174,,,0
175,,,5.5
176,,,5.5
177,,,6.3
178,,,5.6
179,,,0
180,,,6
181,3.8,44,5.2
182,,,4.5
183,,,
184,,,8
185,,,
186,,,7.4
187,,,
188,,,
189,,,6.9
190,,,6.1
191,,,6
192,,,0
193,5,,6.9
194,,,
195,,,
196,,,7.6
197,,,
198,,,7.2
199,,,6.7
200,6,63,7.7
201,7.9,79,8.5
202,8.3,85,8.8
203,,,
204,8.5,83,8.6
205,,,
206,,,7.9
207,,,8.1
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,6.4
214,,,
215,,,7.7
216,,,6.4
217,,,
218,,,7.1
219,4,50,5.3
220,,,
221,,,
222,,,
223,,,5.8
224,,,6.4
225,6,,6.3
226,,,3.8
227,,,
228,,,
229,,,7.5
230,,,
231,,72,8.3
232,,,
233,,,5.3
234,,,5.3
235,,,0
236,8,,8.2
237,,,0
238,,,0
239,,,0
240,,,0
241,,,0
242,,,
243,,,0
244,,,8.1
245,,,7.9
246,,,
247,,,6
248,,,6.7
249,,,7.1
250,,,
251,,,7.1
252,,,7.8
253,,,7.2
254,,56,7.5
255,,,0
256,,,
257,,,
258,,,
259,,,7.9
260,,,7
261,,,7
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,0
273,,,
274,,,
275,,,
276,,,
277,,,0
278,,,0
279,,,7.5
280,,,7.5
281,,,
282,,,2.6
283,,,
284,,,7.2
285,,,6.9
286,,,6.5
287,,,6.5
288,,,8.5
289,,,0
290,,,
291,,,--
292,,,
293,,,0
294,,,
295,,,
296,,,0
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,4.7
305,,,
306,,,4.8
307,,,0
308,,,7
309,,,0
310,,,0
311,,,
312,,,6.2
313,,,
314,,,
315,,,
316,,,6.3
317,,,
318,,,0
319,,,6.6
320,,,7.4
321,,,
322,,,
323,,,
324,,,6.4
325,,,
326,,,5.9
327,,,
328,,,
329,,,8
330,,,7.5
331,,,
332,,,8.2
333,,,8.7
334,,,0
335,,,
336,,,
337,,,
338,,,
339,,,6.3
340,,,
341,,,0
342,,,0
343,,,
344,,,5.3
345,,,5.9
346,,,
347,,,5.2
348,,,6.8
349,,,0
350,,,7.7
351,,,7
352,,,6.5
353,,,5.9
354,,,7
355,,,6.5
356,,,5.9
357,,,
358,,,
359,,,
360,,,
361,,,5.4
362,,,
363,,,5.5
364,,,5.5
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,7.3
371,,,
372,,,5.3
373,,,
374,,,
375,,,
376,,,10
377,,,7.2
378,,,7.5
379,,,6.6
380,,,
381,,,
382,,,
383,,,
384,,,8.5
385,,,
386,,,7.9
387,,,
388,,,
389,,,
390,,,6.8
391,,,--
392,,,8
393,,,7.5
394,,,6.9
395,,,7.4
396,,,5.5
397,,,5.7
398,,,
399,,,0
400,,,7.8
401,,,5.6
402,,,5.6
403,,,
404,,,
405,,,
406,7,73,7.4
407,,,
408,,,8
409,,,8
410,,,8.2
411,,,
412,,,
413,,,
414,,,0
415,,,
416,6.5,,7.9
417,7,,8.2
418,,,8.1
419,,,
420,,,
421,,,0
422,,,
423,,,0
424,,,
425,,,0
426,,,0
427,,,6.3
428,,,6.3
429,,,0
430,,,
431,,,
432,,,0
433,,,7.5
434,,,6.9
435,,,
436,,,4.3
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,8.2
445,,,7.7
446,,,5.7
447,,,
448,,,7.3
449,,,0
450,,,
451,,,
452,,,7.7
453,8,81,8.5
454,,,7.7
455,,,
456,,,
457,,,
458,,,0
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,7.3
468,,,
469,,,7.4
470,,,
471,,,
472,,,7.6
473,,,7.2
474,,,
475,,,8
476,,,
477,,,8
478,,,0
479,,,
480,,,
481,,,
482,,,4.9
483,,,4.9
484,,,
485,,,6.7
486,,,6.7
487,,,5.3
488,,,5.3
489,,,5.3
490,,,5.3
491,,,7.5
492,,,5.6
493,,,
494,,,
495,7,,8
496,,,4
497,,,7.9
498,,,7.5
499,,,8.2
500,,,6.9
501,,55,9
502,,,
503,,,8.7
504,,,
505,,,
506,,,0
507,6.5,,7.1
508,,,5.6
509,,,0
510,,,8.7
511,,,7.3
512,,,
513,,,4.3
514,,,
515,,,
516,,,--
517,,,6.1
518,,,6.1
519,,,
520,8,,8.1
521,,,
522,,,7.8
523,,,
524,,,7.2
525,,,7.3
526,,,7.8
527,,,0
528,,,8
529,,,
530,4.2,,7
531,,,
532,,,
533,,,8
534,7.9,72,8.3
535,,,7.5
536,,,
537,,,7.6
538,,,
539,,,0
540,,,
541,,,5
542,,,0
543,,,0
544,,,
545,,,0
546,,,6.5
547,,,6.1
548,,,
549,,,8.3
550,,,6.7
551,,,5.2
552,,,6.8
553,,,
554,,,
555,,,6.9
556,,,
557,,,8.5
558,,,
559,,,6.5
560,,,8.2
561,,,8.2
562,,,0
563,,,0
564,,,0
565,,,6.2
566,,,
567,,,6.6
568,,,6.6
569,,,8.7
570,,,
571,,,
572,,,
573,,,
574,,,
575,,,0
576,,,0
577,,,0
578,,,0
579,,,0
580,,,
581,,,0
582,,,0
583,,,8.2
584,,,6
585,,,8.2
586,,,6.6
587,,,6.6
588,,,0
589,,,0
590,,,7.6
591,,,0
592,,,7.3
593,,,
594,,,0
595,,,0
596,,,6.4
597,7.8,,8.5
598,,,
599,,,0
600,,,
601,,,
602,,,0
603,,,7.3
604,,,0
605,,,0
606,,,6.5
607,,,7.5
608,,,
609,,,6
610,,,0
611,,,5.9
612,,,
613,,,0
614,,,6.5
615,,,
616,,,7
617,,,6.9
618,5.3,,7.7
619,,,7
620,,,0
621,,,0
622,,,0
623,,,
624,,,7.6
625,,,2.7
626,,,7
627,,,
628,,,7
629,,,7
630,,,
631,,,8.1
632,,,7.1
633,,,
634,,,
635,,,
636,,,
637,,,
638,4.3,58,5.6
639,,,7.2
640,,,7.1
641,7.8,71,7.3
642,,,
643,,,7.1
644,,,7.7
645,,,6.9
646,,,7.2
647,,,7.5
648,,,6.7
649,,,7.7
650,,,6.1
651,,,8.1
652,,,
653,,,8.1
654,,,6.8
655,,81,7.8
656,,,6
657,,,6.8
658,,,
659,,,
660,,,0
661,,,
662,,,
663,4.3,58,7
664,,,5.4
665,,,7.9
666,,,7.9
667,,,
668,,,7.7
669,,,
670,,,0
671,,,0
672,,,8.6
673,,,7.8
674,,,6.9
675,,,1.5
676,,,7.6
677,,,8
