,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,7.3,77,8.3
9,7.5,83,8.7
10,8,79,8.9
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,7.5
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,7.7
23,,,7.3
24,,,
25,6.4,44,5.8
26,,,
27,,,
28,,,8
29,,,
30,,,
31,,,
32,,,7.1
33,,,
34,,,7.7
35,,,
36,,,
37,,,7
38,,,8.5
39,,,
40,,,
41,,,0
42,,,
43,,,
44,,,
45,,,
46,,,8.5
47,,,8.3
48,8.1,70,8
49,,,
50,,,
51,,,7.6
52,,,0
53,,,
54,,,
55,7.5,,7.6
56,7.5,,7.8
57,,,
58,,,
59,,,0
60,,,
61,,,0
62,,,
63,,,6.2
64,,,0
65,,,6
66,,,
67,5,,7.1
68,,,
69,,,6
70,,,
71,7,,6.8
72,6.2,,8.1
73,7.4,,7.9
74,,,8.3
75,,,
76,6.6,,7.6
77,7.2,,8
78,,,0
79,,,9
80,,,0
81,,,0
82,,,
83,,,
84,,,
85,,,
86,1.5,,3.5
87,,,
88,,,0
89,,,
90,,,
91,4.5,,6.6
92,,,7
93,,,7.6
94,,,0
95,,,
96,,,9.5
97,,,8.2
98,,,
99,5.3,,6.8
100,,,
101,,,
102,,,7.5
103,,,
104,7.5,,7.8
105,,,6.5
106,,,5.8
107,,,7.3
108,,,
109,,,4.3
110,,,6
111,,,10
112,,,
113,4.5,,6.5
114,,,
115,,,
116,,,
117,,,--
118,,,
119,,,7.5
120,,,
121,,,
122,,,
123,,,
124,,,0
125,,,
126,,,8.5
127,,,6.9
128,,,8
129,,,7.5
130,,,8
131,,,5.5
132,,,
133,,,7.5
134,,,0
135,,,0
136,,,1
137,,,
138,,,
139,,,
140,,,7.9
141,,,
142,,,
143,,,8.1
144,,,0
145,,,0
146,8,,7.9
147,,,
148,,,
149,,,0
150,,,
151,,,
152,,,
153,,,6.5
154,,,
155,,,
156,,,0
157,,,6.3
158,,,
159,,,7.7
160,,,--
161,,,
162,,,0
163,,,
164,,,0
165,,,
166,,,
167,,,0
168,,,8
169,,,
170,,,8.7
171,,,0
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,7.7
181,,,0
182,,,
183,,,
184,,,
185,,,
186,,,0
187,,,
188,,,0
189,,,
190,6.2,,6.5
191,,,0
192,,,
193,,,
194,,,0
195,,,0
196,,,
197,,,
198,6.6,,7.1
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,0
205,,,
206,3.8,,5.2
207,,,
208,,,0
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,7.9
220,,,0
221,,,0
222,6,,5.6
223,,,0
224,,,0
225,,,0
226,,,0
227,,,0
228,,,0
229,,,
230,,,0
231,,,
232,,,0
233,,,0
234,,,0
235,,,6.2
236,,,6.5
237,,,8.5
238,,,0
239,,,
240,,,5.8
241,,,7.7
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,3.5,,5.7
251,,,0
252,,,
253,7.2,,7.4
254,,,8.2
255,,,
256,,74,7.2
257,,,7
258,,,
259,,,0
260,4.5,62,7.3
261,,,6.1
262,6.2,,7.5
263,,,
264,,,
265,,,
266,,,0
267,,,
268,,,
269,,,
270,,74,7.2
271,,,
272,,,6.1
273,,,
274,,,0
275,,,0
276,,,
277,,,0
278,,,
279,,,0
280,,,8.1
281,,,7.6
282,,,6.9
283,,,1
284,,,
285,,,
286,,,7
287,,,5.8
288,,,
289,,,
290,,,8.6
291,,,--
292,,,0
293,,,0
294,,,0
295,,,0
