,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,9,,8.4
27,,,
28,7.4,,7.8
29,,,
30,7.3,,7.9
31,,,
32,,,
33,,,7.9
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,9,84,8.4
45,,,7.8
46,,,7.7
47,,,7.6
48,,,
49,,,
50,,,
51,,,
52,,,
53,6.2,55,7.4
54,,,
55,,,
56,,,7.4
57,8.3,72,7.6
58,,,
59,,,
60,,,
61,,,8.3
62,,,7.1
63,,,
64,,70,7.2
65,,,0
66,,,0
67,,,
68,,,--
69,,,6.7
70,5.1,,6.4
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,8.3
79,,,6.2
80,,,
81,,,
82,,,
83,,,7.2
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,6.4
91,,,6.8
92,3,65,6.8
93,7.1,,7.4
94,,,8.5
95,8,66,7.6
96,7,,8.1
97,,,
98,,,
99,,,
