,0,1,2
0,,,8.1
1,7.3,61,8
2,8,76,7.9
3,8.1,83,7.6
4,,,
5,,71,7.3
6,6,57,3.9
7,,,
8,,,
9,,27,3.6
10,,,6.5
11,6.8,71,6.7
12,8.2,83,8.3
13,8.4,79,8.4
14,7.9,87,7.9
15,7.7,69,8.2
16,,,
17,,,
18,,71,7.5
19,,59,7.8
20,,66,6.5
21,,,6.2
22,,,
23,,,
24,,,
25,,64,6.5
26,3.7,38,4.1
27,6.3,61,7.8
28,,39,6.2
29,,58,6.8
30,5.2,60,6.4
31,6.4,60,7.3
32,,,
33,8.9,94,9
34,8.2,84,8.1
35,4.6,47,6.8
36,,,8.1
37,,,
38,,39,5.9
39,,61,7.2
40,,81,7.7
41,,60,7.2
42,6.1,68,7.3
43,6.1,72,7.7
44,,,5.5
45,,,8.6
46,,67,8.4
47,,,2.8
48,8.4,,5.9
49,7,,7.5
50,,,
51,,,4.7
52,8.9,,8.2
53,9.2,,8.2
54,,,
55,6.9,,7.3
56,,,7.1
57,7.2,,6.2
58,,,
59,,,
60,,,6.3
61,,,9
62,,24,5.2
63,9,,8.2
64,,,3.5
65,8.6,,6.6
66,6.3,,7.4
67,,,4.4
68,,,
69,,,
70,,,7.7
71,,,6.5
72,,,6.8
73,,,
74,,,
75,,,5.4
76,,,
77,,,
78,,,
79,7.3,79,7.6
80,5.3,68,5.7
81,,,
82,,69,6.2
83,,,
84,3.8,,6
85,,,0
86,,,2
87,9.1,78,8.8
88,,,5.6
89,,,4.3
90,,,3.5
91,9.6,,8.6
92,8.7,,8.7
93,,,
94,,,
95,,,8
96,,,7.6
97,,,
98,,,1
99,,,
100,,37,2.5
101,4.3,59,6.5
102,,,
103,,,
104,6,,6.9
105,8.1,,6.8
106,,,5
107,,,6.9
108,,,6.3
109,7.3,34,6.1
110,,,
111,6.4,,7.3
112,,,7.8
113,7.3,71,7.2
114,5.5,56,6.6
115,,,
116,,,
117,,,0
118,,,
119,6.3,55,5.4
120,,,6
121,,,--
122,8.2,,7.6
123,6.3,75,7.4
124,,,0
125,,,6.2
126,,,7.9
127,,,5.7
128,5.5,43,5.6
129,,,0
130,,,
131,7.8,,7.3
132,,,7.6
133,,,
134,,,
135,,,
136,,,6.5
137,,,
138,,,
139,,,8.3
140,9.4,,7.7
141,7.2,91,8.3
142,8.2,91,8.6
143,6.4,,7.5
144,7,,7.7
145,4.3,,4.3
146,5.3,,5
147,,,
148,8,,7.9
149,,,10
150,,,
151,,,7.6
152,,,0
153,,,
154,,78,6.5
155,,,6.9
156,,,7.7
157,,,0
158,,,
159,,,0
160,,,
161,,,
162,,,
163,8.7,,7.9
164,8.9,,8.2
165,7.6,,7.7
166,,,4.5
167,,,7
168,6.9,,6.2
169,6.3,,7.9
170,,,
171,,,4.1
172,,,
173,,,
174,,,4.3
175,,,5.2
176,6.2,,5.3
177,5.2,,5.9
178,6,,5.3
179,,,7.5
180,,,
181,,,
182,,,7
183,,,
184,,,7
185,,,5.9
186,6.6,,6.6
187,,,
188,3.8,,4.4
189,7.6,,6.9
190,,,6.5
191,8.2,70,8.1
192,,,
193,,,4
194,,,7.8
195,,,
196,,,0
197,,,8
198,6,55,6.5
199,,,8
200,,,
201,,,7.5
202,4.7,,6.3
203,7.3,,5.5
204,8.2,75,7.9
205,6.3,,6.9
206,9,,9
207,,,2.1
208,7.1,,6.6
209,,,
210,,,6.8
211,,,5.8
212,,,6
213,,,7
214,,,
215,7.5,79,7.5
216,,,
217,,,
218,,,7
219,,,
220,8.5,86,8.6
221,3,,6.3
222,,,4.1
