,0,1,2
0,,,7.5
1,,,
2,,,6.6
3,,,
4,,,0
5,,,
6,,,0
7,,,
8,,,8.5
9,,,
10,,,
11,,,
12,,,6.4
13,,,
14,,,0
15,,,0
16,,,
17,,,6.4
18,,,0
19,,70,9.2
20,,,
21,,,
22,9.9,,9.2
23,,,
24,,,8.9
25,8,84,9.3
26,,,
27,9.4,92,9.3
28,,,
29,9.2,91,9
30,,,
31,,,
32,8.5,,9.3
33,,,0
34,,,6.5
35,,,
36,,,
37,,,
38,,,7.5
39,,,8
40,,,3.7
41,,,
42,,,
43,,,6.8
44,,,6.6
45,,,0
46,,,
47,,,7.4
48,,,
49,,,7.1
50,,,0
51,,,
52,,,
53,,,8
54,,,7.9
55,,,
56,,,6.1
57,,,
58,,,
59,,,8
60,,,0
61,,,
62,,,7.7
63,,,0
64,,,
65,,,6.9
66,,,
67,,,5
68,,,
69,,,8.1
70,,,
71,,,5
72,,,4.3
73,,,6.5
74,,,0
75,,,
76,,,7.8
77,,,8
78,,,7.9
79,,,
80,,,6.7
81,,,
82,,,
83,,35,0
84,,,
85,,,0
86,,,10
87,,,7.8
88,,,7
89,,,7.5
90,,,7.8
91,,,
92,,,0
93,,,
94,,,
95,,,
96,,,0
97,,,0
98,,,6.4
99,,,
100,,,6.4
101,,,6.6
102,,,
103,,,0
104,,,0
105,,,8.5
106,,,6.4
107,,,6.9
108,,,
109,,,7.3
110,,,
111,,,
112,,,0
113,,,0
114,,,
115,,,
116,,,6.8
117,,,7.2
118,,,7.5
119,,,9.1
120,,,8.8
121,,,8.4
122,,,6.5
123,,,
124,,,7.6
125,,,
126,,,
127,,,8.8
128,,,
129,,,
130,,,6.4
131,,,
132,,,
133,,,
134,,,7.7
135,,,8.8
136,,,7.7
137,,,
138,,,0
139,,,
140,6.9,72,7.4
141,,,7.1
142,,80,7.6
143,,,
144,,,
145,,,6.3
146,,,0
147,,,
148,,,
149,,,7.1
150,,,6.6
151,,,7.5
152,,,7.5
153,,,
154,,,7.6
155,,,7.4
156,,,6.1
157,,,7
158,,,6.9
159,,,
160,,,
161,,,6.2
162,,,8.5
163,,,
164,,,
165,,,
166,,,0
167,,,
168,,,
169,,,4.7
170,,,7.8
171,,,6.8
172,,,7.6
173,,,6.1
174,,,6.1
175,,,5.7
176,,,7.7
177,,,0
178,,,0
179,,,
180,,,6.3
181,,,0
182,,,7
183,,,
184,,,
185,,,
186,,,9
187,,,--
188,,,0
189,,,
190,,,7.7
191,,,6.3
192,,,8.1
193,,,
194,,,
195,,,8.3
196,,,8.9
197,,,6.2
198,,,0
199,8.2,70,8.2
200,,,0
201,,,0
202,,,0
203,,,0
204,,,5.6
205,,,
206,,,0
207,,,
208,,,
209,,,7.9
210,,,
211,,,8.3
212,,,
213,,,7.1
214,,,
215,,,0
216,,,7.4
217,,,
218,5,,7.3
219,,,7.9
220,,,
221,,,7.3
222,,,7.5
223,,,0
224,,,
225,,,0
226,,,0
227,,,
228,,,
229,,,
230,,,1.8
231,7,,7.7
232,7,,7.7
233,,,6.6
234,,,6.4
235,4.5,,5
236,,,7.6
237,,,4.6
238,,,4.6
239,,,6.1
240,,,7.3
241,,,8.4
242,,,9
243,,,6.5
244,,,7.4
245,,,7.3
246,,,7
247,,,
248,,,8.4
249,,,6.8
250,,,6.8
251,,,8.5
252,,,
253,,,7.4
254,,,
255,,,5.9
256,,,5.9
257,,,
258,,,
259,,,6.9
260,5.6,66,8.2
261,5.6,66,8.2
262,,,6.6
263,,,4.7
264,,,7.4
265,,,9
266,,,
267,,,
268,,,7.2
269,,,
270,,,
271,,,
272,,,0
273,,,0
274,,,5.1
275,7.6,,8.1
276,,,7.8
277,6.5,,6.4
278,6.5,66,6.1
279,,,6.9
280,,,7.4
281,,,7.6
282,,,6.8
283,,,7.6
284,,,8.2
285,,,
286,,,0
287,,,9
288,,,
289,,,
290,,,7.3
291,,,7.3
292,,,
293,,,
294,,,6.6
295,,,7.3
296,,,7.3
297,,,0
298,,,0
299,,,8.3
300,,,7.8
301,,,
302,,,
303,,,0
304,,,0
305,,,0
306,,,0
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,7.2
313,,,6.5
314,,,
315,,,0
316,,,8.6
317,,65,7
318,,,
319,,,
320,7,,6.4
321,,,
322,,,
323,8.1,77,7.7
324,,,
325,,,
326,,,
327,,,7.8
328,,70,7.3
329,,,6.9
330,,,7.2
331,,58,7.1
332,,,6.9
333,,,7.5
334,,,8.9
335,,,5.6
336,,,
337,,,
338,,,
339,,,
340,,,
341,8.6,88,8.2
342,,,8.4
343,,,
344,,,
345,,,
346,7.4,78,7.7
347,7.3,75,7.7
348,7.7,67,7.4
349,7,65,7.1
350,,,
351,,,
352,,,
353,,,5.3
354,,,5.4
355,7.5,73,6.2
356,,56,0
357,,59,8.3
358,6.7,75,7.2
359,,,8.9
360,,,
361,,,
362,,,
363,,,
364,6.3,62,8.4
365,,62,5.3
366,7.7,73,8.3
367,2.7,40,3.6
368,5.4,53,6.4
369,,66,7.5
370,6.5,69,7.2
371,,,8.4
372,6.9,70,7.3
373,,,
374,,,
375,9.1,88,7.9
376,7.8,84,7.8
377,8.9,81,8.2
378,,,
379,,,
380,8.2,87,8.6
381,,,
382,,,
383,,,
384,4.9,55,6.1
385,,73,6.9
386,,75,6.9
387,,59,6.7
388,7.3,82,7.5
389,8.1,77,8.2
390,8.1,74,8.4
391,2.8,28,6.2
392,6.5,68,6.9
393,,,
394,5,68,6.7
395,7.2,70,7.5
396,,,
397,,,7
398,8.5,81,8.8
399,7.6,82,8.8
400,,,7.2
401,,66,7.2
402,5.9,63,6
403,6.3,55,6.4
404,,,0
405,,,
406,,,5.8
407,,,
408,,,
409,,65,7.1
410,6.9,73,7.4
411,,,6.9
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,6.6
419,,,
420,,,
421,,57,5.3
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,8.2,84,8.5
430,6.5,54,7
431,7.5,62,7.3
432,,,
433,,75,4.8
434,,49,2.7
435,,,
436,8.2,54,7.5
437,8.5,81,8.7
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,8.3,79,8.4
447,8.6,81,8.7
448,8.3,77,8.8
449,7.6,77,8.7
450,8.2,82,8.5
451,,,
452,,,
453,,,6.5
454,,65,8
455,4.7,59,5.9
456,4.6,47,6.4
457,,79,8.2
458,8.4,76,8.1
459,7.9,75,7.4
460,,,7.5
461,,,5.8
462,,,
463,7.6,75,7.7
464,2.9,33,3.9
465,8,84,7.3
466,,75,6
467,7,49,6.2
468,,,
469,8,79,7.9
470,,,
471,8,73,7.6
472,,,
473,,,0
474,,,
475,5.1,,6.1
476,6.7,52,7.2
477,,49,4
478,,,
479,,,
480,,,
481,,,
482,,,
483,,,
484,,,
485,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,49,5.4
496,,,6.2
497,,,
498,,55,5.8
499,,,6.2
