,0,1,2
0,,,0
1,,,
2,,,
3,,,
4,,,
5,,,0
6,,,
7,,,6
8,,,0
9,,,
10,,,4.9
11,,,
12,,,4
13,,,
14,,,8.4
15,,66,7.8
16,,,
17,,,0
18,,,7
19,,,
20,,,
21,,,0
22,,,0
23,,,0
24,,,
25,,,0
26,,,0
27,,,
28,,,7.2
29,,,10
30,,,8.2
31,,,
32,,,--
33,,,
34,,,
35,,,8.5
36,,,
37,,,0
38,,,6.3
39,,,
40,,,0
41,,,7.3
42,,,
43,,,0
44,,,7.7
45,,,0
46,,,10
47,,,
48,,,--
49,,,
50,,,0
51,,,0
52,,,
53,,,9
54,,,
55,,,0
56,,,0
57,,,
58,,,
59,,,0
60,,,0
61,,,
62,,,5
63,,,0
64,6,,7.5
65,,,6.8
66,,,4.7
67,,,
68,3.5,,6.1
69,,,
70,,,8.2
71,,,5.5
72,,,0
73,,,0
74,,,
75,,76,8.8
76,,,0
77,,,0
78,,68,0
79,,,6.7
80,,,0
81,,,
82,,,0
83,,,
84,,,
85,,,7.4
86,,,6.4
87,,,
88,,,
89,,,10
90,,,0
91,,,
92,,,
93,,,7.8
94,6.1,,6.9
95,,,0
96,,,7
97,,,0
98,,,7.8
99,,,
