,0,1,2
0,,,
1,,,
2,,,7.3
3,,,7.3
4,,,
5,,,
6,,,
7,,,
8,,,9.2
9,,,
10,,,
11,,,8.4
12,,,
13,,,
14,,,8
15,,,8
16,,,8.5
17,,,
18,,,
19,,,6.3
20,,,
21,,,0
22,,,
23,,,0
24,,,6.6
25,,,
26,,,
27,6.5,,7.1
28,,,6
29,,,7.9
30,,,5.3
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,6,69,7.7
38,,,
39,,,5.5
40,,,5.6
41,,,
42,,,
43,Error,Error,Error
44,,,6.2
45,,,
46,,,0
47,,,7.1
48,,,0
49,,,
50,,,
51,,,6.8
52,,,
53,,,
54,,,8.6
55,,,7.2
56,,,0
57,,,6.4
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,0
69,,,8.5
70,,,
71,,,
72,,,4
73,,,0
74,,,
75,,,
76,,,
77,,,
78,,,7
79,,,
80,,,7.2
81,,,8.3
82,,,8.7
83,,,8.7
84,,,8.3
85,,,8.3
86,,,8.2
87,,,0
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,0
95,,,2
96,,,
97,,,
98,,,
99,,,4.3
100,,,8.2
101,,,
102,,,
103,,,8.4
104,,,9
105,,,
106,,,0
107,,,8.3
108,,,
109,5.2,58,8.2
110,,,0
111,,,
112,,,4.7
113,,,
114,,,
115,,,6.4
116,,,4.7
117,,,
118,,,3.8
119,,,3.8
120,,,
121,,,6.8
122,,,
123,,,
124,,,
125,3.8,,6.3
126,,,8.1
127,8,,8.7
128,,,
129,2,,6.2
130,2,,6.2
131,,,0
132,,,
133,,,0
134,,,
135,,,
136,,,0
137,,,0
138,,,6.6
139,5.2,,6.1
140,,,
141,,,
142,,,
143,,,
144,,,9
145,,,0
146,,,0
147,,,0
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,0
157,,,10
158,,,0
159,,,
160,,,
161,,,7.7
162,,,0
163,,,7.2
164,,,6.9
165,,,7.8
166,,,5
167,,,
168,,,
169,,,0
170,,,0
171,,,1.9
172,,,0
173,,,0
174,,77,8.3
175,,,
176,,,7.9
177,,,
178,,,8
179,,,5.5
180,,,0
181,,,
182,,,
183,,,
184,,,0
185,,,6.8
186,,,
187,,,8
188,,,0
189,,,0
190,,,
191,,,9.8
192,,,5
193,5.6,51,6.6
194,,,6.5
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,8.6
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,8.9
224,,,
225,,,
226,,,
227,,,
228,6,,7.3
229,4,,6.8
230,,,7.3
231,,,
232,,,0
233,,,
234,,,
