,0,1,2
0,,,7.8
1,,,8.3
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,7
9,,,8.7
10,,,7.4
11,,,7.1
12,,,
13,,,
14,,,7.5
15,,,
16,,,6
17,,,
18,,,
19,,,
20,,,5.8
21,,,8.2
22,,,
23,,,
24,,,9.3
25,,,3.2
26,,,0
27,7,81,7.8
28,,,
29,,,5.7
30,,,5
31,,,
32,,,6.6
33,,,8.6
34,,,
35,,,
36,,,
37,,,0
38,,,
39,,,8.3
40,,,6.9
41,,,7.8
42,,,
43,,,
44,,,
45,,,6.4
46,,,7
47,,,0
48,,,
49,,,
50,,,
51,,,
52,,,1
53,,64,7.8
54,,,
55,,,6.3
56,,,0
57,5,40,7.1
58,,,
59,,,9.5
60,,,1.5
61,,,7.5
62,,,0
63,,,6.9
64,4,,7
65,,,7.5
66,,,7.4
67,,,
68,,,
69,,,0
70,,,0
71,,,7.2
72,,,7.1
73,,,
74,,,8.6
75,,,6.2
76,,,--
77,,,
78,,,5.7
79,7.4,,7.8
80,,,0
81,,,1
82,,,
83,,,0
84,,,
85,,,
86,,,4
87,,,6.5
88,,,
89,,,
90,,,
91,,,7.6
92,,,6.9
93,,,
94,7.6,,7.8
95,,,7.7
96,,,7.1
97,,,
98,,,
99,,,7.8
