,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,9.1
5,,,
6,,,
7,,,
8,,,
9,,,8.4
10,5.6,,7.6
11,,,0
12,,,7.3
13,,,8.3
14,,,9.4
15,,,0
16,,,7.3
17,,,
18,,,
19,,,
20,,66,7.1
21,,,8.2
22,,,8.4
23,,,
24,,,
25,,,
26,,,
27,,,
28,6.9,72,8.2
29,,,
30,,,
31,6.9,58,7.4
32,,,7.5
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,0
39,,,
40,8,,8.2
41,,,
42,,,
43,,,7.5
44,2.2,,5.2
45,,,8.5
46,,,
47,,,6
48,,,8.2
49,,,0
50,,,
51,,,0
52,,,0
53,,,0
54,,,0
55,,,7.5
56,,,5
57,,,0
58,,,7.3
59,,,7.6
60,6.2,,7.8
61,,,4
62,6,64,6
63,,,0
64,4.3,56,6.2
65,,,
66,,,--
67,,,
68,,,0
69,,,0
70,6.1,,7.7
71,,,7.3
72,,,6
73,4,,5.8
74,,,
75,,,0
76,,,0
77,,,8.4
78,,,7.4
79,,,7.2
80,,,6.1
81,,,0
82,,,0
83,,,
84,,,
85,4.5,47,6.3
86,,,--
87,,,0
88,,87,7.9
89,,,0
90,,,4
91,,,8
92,,,
93,,,
94,,,
95,,,0
96,,,8.2
97,,,6.7
98,,,7.5
99,4.5,,7.6
