,0,1,2
0,,,
1,,,0
2,,,
3,,,
4,,,8.2
5,,,6.8
6,,,
7,6,63,7
8,,,6.1
9,,,
10,,,
11,,,0
12,,,
13,,,
14,,,0
15,,,0
16,,,
17,6,66,6.6
18,,,
19,,,0
20,,,0
21,,,0
22,,,10
23,,,0
24,,,6
25,,,0
26,,,
27,,,
28,,,0
29,,,0
30,,,0
31,,,--
32,7.2,74,7.5
33,,,
34,,,
35,,,--
36,,,0
37,,,7.4
38,,,0
39,,,
40,,68,7.7
41,,,
42,,,7.5
43,,,0
44,,,0
45,,,0
46,,,
47,,,0
48,,,7.9
49,,,
50,,,0
51,,,0
52,,,7.9
53,,,0
54,,,
55,,,
56,,,0
57,,,0
58,,,
59,,,
60,,,
61,,,0
62,,,
63,,,8.6
64,,,8
65,,,
66,,,
67,,,0
68,,,0
69,,,
70,,,0
71,,,
72,,,
73,,,
74,,,6
75,,,
76,,,0
77,,,
78,,,7.1
79,,,
80,,,0
81,,,5
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,0
89,,,6.8
90,,,
91,,,
92,,,0
93,,,7.2
94,,,
95,,,9
96,,,
97,,,0
98,,,
99,,,
100,,,
101,,,
102,,,0
103,,,
104,,,
105,,,
106,,,
107,,,5.5
108,,,0
109,,73,7.9
110,,,9.7
111,,,
112,,,5.5
113,,,8
114,,,
115,,,6.5
116,,,
117,,,
118,,,6.3
119,,,
120,,,7.1
121,,,
122,,,
123,,,
124,,74,7.9
125,,,7.9
126,,,
127,,,
128,,,0
129,,,0
130,,,
131,,,7.8
132,6.5,,6.8
133,,,
134,,,7.5
135,,,
136,,,
137,,,0
138,,58,6.1
139,,,
140,,,7.3
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,0
147,,76,8.4
148,,,
149,,,
150,,,
151,,,7.8
152,,,
153,,,
154,,,
155,,,10
156,,,0
157,,,
158,,,8.1
159,,,6.5
160,,,
161,,,0
162,,,
163,,,7.4
164,,,
165,7.3,56,6.6
166,,,
167,6.7,,7.7
168,,,
169,,,
170,,,
171,,,0
172,,,
173,,,
174,,,0
175,,,6.4
176,,,
177,,,0
178,,,0
179,,,0
180,,,
181,5.5,51,6
182,,,
183,,,
184,,,
185,,,0
186,,,7.8
187,,,6.6
188,,,7
189,,,
190,,,8
191,,,8.1
192,,,0
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,0
199,,,5
200,,,
201,,,7
202,,,
203,,,
204,,,
205,,,
206,,,7.5
207,,,
208,,,
209,,,0
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,7.8
216,,,
217,,,
218,,,7.2
219,,,
220,,,6.8
221,,,6.8
