,0,1,2
0,,,0
1,,,
2,,,0
3,,,0
4,,,0
5,,,0
6,,,8
7,,,7.6
8,,,0
9,,,0
10,,,0
11,,,
12,,,0
13,,,8.4
14,,,7.3
15,,,0
16,,,9.5
17,,,0
18,,,6.5
19,,,7.6
20,7.5,,7.6
21,,,7.5
22,,,
23,,,8
24,,,0
25,6,72,5.4
26,,,
27,,,5
28,,,
29,,,0
30,,,6.3
31,,,8.1
32,,,0
33,,,0
34,,,0
35,,,
36,,,0
37,,,
38,,,7.1
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,7.3
45,,,
46,,,--
47,,,7.6
48,,,
49,,,5.8
50,,,0
51,,,0
52,,,
53,,,
54,,,0
55,,,
56,,,
57,,,7.4
58,,,
59,,,7.7
60,,,
61,,,--
62,,,9.2
63,,,
64,,,8.5
65,,,7.3
66,,,8.5
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,0
78,,,6.3
79,,,0
80,6,,5.8
81,,,
82,,,
83,,,4
84,,,--
85,,,0
86,,,6.2
87,,,6
88,,,0
89,,,0
90,,,7.3
91,,,
92,,,
93,,,0
94,,,0
95,,,
96,,,
97,,,7.6
98,,,0
99,,,7.7
100,,,
101,,,7
102,,,6.9
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,6.6
109,,,5.9
110,,,
111,,,
112,,,
113,,,
114,,,0
115,,,
116,,,--
117,,,0
118,,,7.5
119,,,
120,,,
121,,,
122,,,6.4
123,,,0
124,,,
125,,,
126,,74,0
127,,,
128,6.8,56,6.6
129,,,
130,,,
131,,,7.3
132,,,6.2
133,,,6.8
134,6.6,63,8.4
135,,,
136,,,
137,,,
138,,,
139,,,0
140,,,
141,,,
142,,,0
143,,,
144,,,
145,7.1,81,7.5
146,,,0
147,,,0
148,,,0
149,,,7.9
150,,,0
151,,,
152,,,6.7
153,,,0
154,,,6.6
155,,,
156,5.9,,6.7
157,,,
158,,,
159,,,
160,,,8.7
161,,,
162,,,
163,,,0
164,,,6.1
165,2.5,,3.9
166,,,
167,,60,5
168,,,3
169,,,6.2
170,,,
171,,,
172,,,
173,,,0
174,,,7.6
175,5.9,,7.5
176,,,
177,,,
178,,,
179,,,0
180,,,
181,,,
182,,,0
183,,,
184,,,
185,,,
186,,,4.6
187,,,0
188,,,7.9
189,,,0
190,,,7
191,,,0
192,,,
193,,,
194,,,6.2
195,,,
196,,,
197,,,
198,,,0
199,,,
200,,,8.6
201,,,
202,5,,7.2
203,,,
204,,,
205,,,
206,,,0
207,,,6.3
208,,,5.9
209,,,0
210,,,3
211,,,
212,,,
213,,,7.9
214,,,
215,,,0
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,0
222,,,6.9
223,,,0
224,,,
225,,,
226,,,
227,,,
228,,,7
229,,,0
230,,,7.7
231,,,0
232,,,8.5
233,,,
234,,,0
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,0
241,,,
242,,,10
243,,,7.3
244,,,
245,,,0
246,,,
247,,,0
248,,,10
249,,,
250,,,7
251,,,1
252,,,6.3
253,,,0
254,,,7.3
255,,,
256,,,8.3
257,,,8
258,,,
259,,,8.3
260,,,
261,,,8
262,,,--
263,,,0
264,,,0
265,,,5.3
266,,,8.2
267,,,0
268,,,6.7
269,,,
270,,,
271,,,0
272,,,
273,,,0
274,,,0
275,,,
276,,,0
277,,,
278,,,6
279,,,
280,,,
281,,,6
282,,,
283,,,0
284,,,0
285,,,0
286,,,0
287,,,
288,,,6.9
289,,,
290,,,
291,,,9
292,,,
293,,,7.3
294,,,
295,,,
296,,,0
297,,,7.4
298,5.2,,7
299,,,
300,,,0
301,,,0
302,,,7.7
303,,,0
304,,,
305,,,0
306,,,
307,,,8.9
308,,,5
309,,,8
310,,,
311,,,
312,,,
313,,,10
314,,,0
315,,,
316,,,4.1
317,,,6.3
318,,,--
319,,,
320,,,0
321,,,6
322,,,0
323,,,
324,,,
325,,,0
326,,,7
327,,,7.4
328,,,6
329,,,5.8
330,,,0
331,,,
332,,,0
333,,,7.5
334,,84,7.5
335,,,0
336,6.5,63,7.2
337,,,
338,,,7.6
339,,,7.4
340,,,0
341,,,6.7
342,,,
343,,,
344,8.4,82,7.7
345,,,0
346,,,0
347,,,
348,,,5.1
349,,,
350,,,6.6
351,,,7
352,,,
353,,,
354,,,0
355,,,0
356,,,
357,,,
358,,,
359,,,0
360,,,6.6
361,,,0
362,,,
363,,,
364,,,6.3
365,,,
366,,,0
367,,,0
368,,,3
369,,,
370,,,
371,,,6.3
372,,,0
373,,,0
374,,,0
375,,,
376,,,0
377,6.7,61,7.1
378,5.8,,4.9
379,,,7.8
380,,,0
381,,,
382,,,
383,,,0
384,,,
385,,,0
386,,,
387,,,0
388,,,
389,,,7.6
390,,,
391,,,
392,,,6
393,,,
394,,,
395,,,
396,,,0
397,,,0
398,,,
399,,,0
400,8.5,77,8.8
401,,,
402,,,
403,,,
404,,,10
405,6.1,,8.3
406,,,0
407,,,
408,,,0
409,,,
410,,,
411,,,
412,,,8.6
413,,,
414,,,
415,,,6.9
416,,,
417,,,--
418,,,
419,,,
420,,,0
421,,,0
422,4.4,,7.3
423,,,
424,,,0
425,,,--
426,,,
427,,,
428,,66,0
429,,,
430,,,
431,,,0
432,,,
433,,,
434,,,0
435,,,4.5
436,,,--
437,,,
438,,,
439,,,0
440,,,7.1
441,,,
442,,,
443,,,6.1
444,,,
445,,,7.2
446,,,
447,,,
448,,,
449,,,
450,,,6.5
451,,,--
452,,,
453,,,
454,,,
455,,,6.2
456,,,
457,,,
458,,,0
459,,,
460,,,8
461,,,
462,,,
463,,,9.5
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,0
472,,,0
473,,,0
474,,,
475,,,0
476,,72,7.3
477,5.8,64,7.3
478,,,
479,,,0
480,,,0
481,,,
482,,,
483,,,
484,,,
485,,,0
486,,,8.1
487,,,0
488,,,
489,,,
490,,,
491,,,
492,,,0
493,,,8.1
494,,,
495,,,0
496,,,0
497,,,4.8
498,6.3,56,7.2
499,,,
